miRNA	Gene	Score
hsa-miR-5739	AMBP	0.618
hsa-miR-6893-5p	FGF22	0.293
hsa-miR-6893-5p	AMBP	0.257
hsa-miR-6821-3p	FGF22	0.131
hsa-miR-6821-3p	AMBP	0.0
hsa-miR-378i	AMBP	0.271
hsa-miR-378i	FGF22	0.0
hsa-miR-4539	AMBP	0.049
hsa-miR-4539	FGF22	0.153
hsa-miR-323b-5p	FGF22	0.384
hsa-miR-323b-5p	AMBP	0.0
hsa-miR-518a-5p	FGF22	0.271
hsa-miR-518a-5p	AMBP	0.0
hsa-miR-608	FGF22	0.0
hsa-miR-608	AMBP	0.0
hsa-miR-6514-5p	AMBP	0.0
hsa-miR-6514-5p	FGF22	0.0
hsa-miR-3615	FGF22	0.542
hsa-miR-3615	AMBP	0.0
hsa-miR-770-5p	FGF22	0.0
hsa-miR-770-5p	AMBP	0.015
hsa-miR-3621	FGF22	0.45
hsa-miR-3621	AMBP	0.883
hsa-miR-4508	AMBP	0.304
hsa-miR-4508	FGF22	0.888
hsa-miR-6839-3p	FGF22	0.0
hsa-miR-6839-3p	AMBP	0.004
hsa-miR-4698	AMBP	0.0
hsa-miR-4698	FGF22	0.0
hsa-miR-4521	FGF22	0.398
hsa-miR-4521	AMBP	0.006
hsa-miR-33a-5p	AMBP	0.0
hsa-miR-33a-5p	FGF22	0.0
hsa-miR-1287-5p	FGF22	0.0
hsa-miR-1287-5p	AMBP	0.0
hsa-miR-4650-5p	AMBP	1.694
hsa-miR-4650-5p	FGF22	0.179
hsa-miR-154-5p	FGF22	0.0
hsa-miR-154-5p	AMBP	0.0
hsa-miR-6857-3p	AMBP	0.212
hsa-miR-6857-3p	FGF22	0.0
hsa-miR-449b-3p	AMBP	0.111
hsa-miR-449b-3p	FGF22	0.0
hsa-miR-3617-3p	AMBP	0.0
hsa-miR-3617-3p	FGF22	0.242
hsa-miR-4253	FGF22	0.962
hsa-miR-4253	AMBP	1.528
hsa-miR-216b-5p	FGF22	0.0
hsa-miR-216b-5p	AMBP	0.0
hsa-miR-6817-3p	AMBP	0.427
hsa-miR-6817-3p	FGF22	1.442
hsa-miR-1226-3p	AMBP	0.0
hsa-miR-1226-3p	FGF22	0.389
hsa-miR-127-3p	AMBP	0.0
hsa-miR-127-3p	FGF22	0.099
hsa-miR-5004-3p	FGF22	0.049
hsa-miR-5004-3p	AMBP	0.0
hsa-miR-2681-5p	AMBP	0.0
hsa-miR-2681-5p	FGF22	0.0
hsa-miR-23b-3p	AMBP	0.0
hsa-miR-23b-3p	FGF22	0.0
hsa-miR-3613-5p	FGF22	0.656
hsa-miR-3613-5p	AMBP	0.0
hsa-miR-5096	FGF22	0.415
hsa-miR-5096	AMBP	0.0
hsa-miR-3614-5p	AMBP	0.0
hsa-miR-3614-5p	FGF22	0.342
hsa-miR-6779-3p	FGF22	0.213
hsa-miR-6779-3p	AMBP	0.0
hsa-miR-718	FGF22	0.478
hsa-miR-718	AMBP	0.0
hsa-miR-4718	FGF22	0.0
hsa-miR-4718	AMBP	0.0
hsa-miR-98-3p	AMBP	0.0
hsa-miR-98-3p	FGF22	0.0
hsa-miR-325	AMBP	0.0
hsa-miR-325	FGF22	0.0
hsa-miR-6795-3p	AMBP	0.42
hsa-miR-6795-3p	FGF22	0.586
hsa-miR-5195-5p	FGF22	0.0
hsa-miR-5195-5p	AMBP	0.0
hsa-miR-6501-5p	FGF22	0.192
hsa-miR-6501-5p	AMBP	0.0
hsa-miR-4774-3p	FGF22	0.253
hsa-miR-4774-3p	AMBP	0.473
hsa-miR-4323	FGF22	0.499
hsa-miR-4323	AMBP	0.65
hsa-miR-4750-3p	FGF22	0.055
hsa-miR-4750-3p	AMBP	0.058
hsa-miR-4665-5p	FGF22	0.0
hsa-miR-4665-5p	AMBP	0.0
hsa-miR-302a-3p	AMBP	0.0
hsa-miR-302a-3p	FGF22	0.0
hsa-miR-6790-3p	FGF22	0.584
hsa-miR-6790-3p	AMBP	0.0
hsa-miR-148b-5p	FGF22	0.344
hsa-miR-148b-5p	AMBP	0.0
hsa-miR-3129-5p	AMBP	0.0
hsa-miR-3129-5p	FGF22	0.0
hsa-miR-4299	FGF22	1.568
hsa-miR-4299	AMBP	0.0
hsa-miR-3972	AMBP	0.0
hsa-miR-3972	FGF22	0.0
hsa-miR-5197-5p	AMBP	0.0
hsa-miR-5197-5p	FGF22	0.0
hsa-miR-1343-5p	FGF22	0.426
hsa-miR-1343-5p	AMBP	0.0
hsa-miR-3960	FGF22	0.632
hsa-miR-3960	AMBP	0.378
hsa-miR-4303	FGF22	0.693
hsa-miR-4303	AMBP	0.034
hsa-miR-3132	FGF22	0.0
hsa-miR-3132	AMBP	0.0
hsa-miR-31-5p	AMBP	0.0
hsa-miR-31-5p	FGF22	0.0
hsa-miR-541-3p	FGF22	0.45
hsa-miR-541-3p	AMBP	0.132
hsa-miR-518f-3p	AMBP	0.0
hsa-miR-518f-3p	FGF22	0.0
hsa-miR-6825-3p	FGF22	0.338
hsa-miR-6825-3p	AMBP	0.0
hsa-miR-126-5p	AMBP	0.858
hsa-miR-126-5p	FGF22	0.0
hsa-miR-6770-3p	AMBP	0.0
hsa-miR-6770-3p	FGF22	0.257
hsa-miR-4420	AMBP	0.198
hsa-miR-4420	FGF22	0.0
hsa-miR-1258	FGF22	0.0
hsa-miR-1258	AMBP	0.17
hsa-miR-488-5p	AMBP	0.0
hsa-miR-488-5p	FGF22	0.232
hsa-miR-3138	AMBP	0.0
hsa-miR-3138	FGF22	0.0
hsa-miR-4662b	AMBP	0.0
hsa-miR-4662b	FGF22	0.0
hsa-miR-6881-3p	FGF22	0.385
hsa-miR-6881-3p	AMBP	0.239
hsa-miR-3142	FGF22	0.0
hsa-miR-3142	AMBP	0.0
hsa-miR-6775-3p	AMBP	0.115
hsa-miR-6775-3p	FGF22	0.443
hsa-miR-6864-5p	AMBP	0.0
hsa-miR-6864-5p	FGF22	0.297
hsa-miR-6721-5p	AMBP	0.059
hsa-miR-6721-5p	FGF22	0.222
hsa-miR-6782-3p	AMBP	0.066
hsa-miR-6782-3p	FGF22	0.1
hsa-miR-7106-5p	AMBP	0.096
hsa-miR-7106-5p	FGF22	0.62
hsa-miR-139-3p	AMBP	0.0
hsa-miR-139-3p	FGF22	0.0
hsa-miR-554	AMBP	0.366
hsa-miR-554	FGF22	0.327
hsa-miR-491-3p	AMBP	0.0
hsa-miR-491-3p	FGF22	0.274
hsa-miR-4778-3p	AMBP	0.0
hsa-miR-4778-3p	FGF22	0.0
hsa-miR-4659a-5p	AMBP	0.0
hsa-miR-4659a-5p	FGF22	0.0
hsa-miR-6882-3p	FGF22	0.037
hsa-miR-6882-3p	AMBP	0.22
hsa-miR-4261	AMBP	0.337
hsa-miR-4261	FGF22	1.584
hsa-miR-6754-5p	FGF22	0.667
hsa-miR-6754-5p	AMBP	0.0
hsa-miR-376c-3p	FGF22	0.0
hsa-miR-376c-3p	AMBP	0.0
hsa-miR-6826-3p	AMBP	0.006
hsa-miR-6826-3p	FGF22	0.507
hsa-miR-6867-3p	FGF22	0.745
hsa-miR-6867-3p	AMBP	0.0
hsa-miR-30b-5p	FGF22	0.0
hsa-miR-30b-5p	AMBP	0.0
hsa-miR-5687	AMBP	0.16
hsa-miR-5687	FGF22	0.0
hsa-miR-9-3p	AMBP	0.0
hsa-miR-9-3p	FGF22	0.0
hsa-miR-6858-3p	AMBP	0.159
hsa-miR-6858-3p	FGF22	0.134
hsa-miR-4697-5p	AMBP	0.0
hsa-miR-4697-5p	FGF22	0.159
hsa-miR-2681-3p	AMBP	0.0
hsa-miR-2681-3p	FGF22	0.0
hsa-miR-3684	FGF22	0.794
hsa-miR-3684	AMBP	0.0
hsa-miR-634	AMBP	0.0
hsa-miR-634	FGF22	0.0
hsa-miR-208a-5p	AMBP	0.0
hsa-miR-208a-5p	FGF22	0.0
hsa-miR-567	AMBP	0.0
hsa-miR-567	FGF22	0.0
hsa-miR-3191-3p	AMBP	0.091
hsa-miR-3191-3p	FGF22	0.0
hsa-miR-4524b-5p	FGF22	0.0
hsa-miR-4524b-5p	AMBP	0.0
hsa-miR-6726-5p	FGF22	0.041
hsa-miR-6726-5p	AMBP	0.373
hsa-miR-6797-3p	FGF22	0.297
hsa-miR-6797-3p	AMBP	0.195
hsa-miR-2052	AMBP	0.0
hsa-miR-1914-5p	AMBP	0.128
hsa-miR-1914-5p	FGF22	0.0
hsa-miR-330-5p	FGF22	0.0
hsa-miR-330-5p	AMBP	0.0
hsa-miR-3197	FGF22	0.235
hsa-miR-3197	AMBP	0.0
hsa-miR-139-5p	FGF22	0.177
hsa-miR-139-5p	AMBP	0.139
hsa-miR-6761-5p	AMBP	0.0
hsa-miR-6761-5p	FGF22	0.248
hsa-miR-941	AMBP	0.0
hsa-miR-941	FGF22	0.0
hsa-miR-4795-5p	FGF22	0.0
hsa-miR-4795-5p	AMBP	0.0
hsa-miR-181b-3p	AMBP	0.0
hsa-miR-181b-3p	FGF22	0.0
hsa-miR-301a-5p	FGF22	0.118
hsa-miR-301a-5p	AMBP	0.0
hsa-miR-5047	AMBP	0.0
hsa-miR-5047	FGF22	0.672
hsa-miR-548ap-3p	FGF22	0.0
hsa-miR-548ap-3p	AMBP	0.0
hsa-miR-571	FGF22	0.369
hsa-miR-571	AMBP	0.375
hsa-miR-492	FGF22	0.0
hsa-miR-492	AMBP	0.215
hsa-miR-6855-3p	AMBP	0.236
hsa-miR-6855-3p	FGF22	0.0
hsa-miR-340-3p	AMBP	0.0
hsa-miR-340-3p	FGF22	0.0
hsa-miR-3160-3p	AMBP	0.0
hsa-miR-3160-3p	FGF22	0.36
hsa-miR-4742-5p	FGF22	0.0
hsa-miR-4742-5p	AMBP	0.0
hsa-miR-4446-5p	AMBP	0.0
hsa-miR-4446-5p	FGF22	0.055
hsa-miR-126-3p	AMBP	0.0
hsa-miR-126-3p	FGF22	0.0
hsa-miR-451a	AMBP	0.0
hsa-miR-451a	FGF22	0.0
hsa-miR-548ag	FGF22	0.0
hsa-miR-548ag	AMBP	0.0
hsa-miR-3194-3p	AMBP	0.0
hsa-miR-3194-3p	FGF22	0.0
hsa-miR-8076	AMBP	0.0
hsa-miR-8076	FGF22	0.0
hsa-miR-7151-5p	AMBP	0.0
hsa-miR-7151-5p	FGF22	0.0
hsa-miR-4709-5p	AMBP	0.0
hsa-miR-4709-5p	FGF22	0.0
hsa-miR-2277-5p	AMBP	0.0
hsa-miR-2277-5p	FGF22	0.0
hsa-miR-526a	AMBP	0.0
hsa-miR-526a	FGF22	0.487
hsa-miR-6784-5p	FGF22	0.678
hsa-miR-6784-5p	AMBP	0.31
hsa-miR-4476	AMBP	0.0
hsa-miR-4476	FGF22	0.026
hsa-miR-3125	FGF22	0.2
hsa-miR-3125	AMBP	0.0
hsa-miR-4498	AMBP	0.338
hsa-miR-4498	FGF22	0.469
hsa-miR-103a-3p	AMBP	0.0
hsa-miR-103a-3p	FGF22	0.0
hsa-miR-4472	FGF22	0.0
hsa-miR-4472	AMBP	0.0
hsa-let-7i-3p	AMBP	0.0
hsa-let-7i-3p	FGF22	0.0
hsa-miR-5702	AMBP	0.0
hsa-miR-5702	FGF22	0.0
hsa-miR-199b-5p	AMBP	0.0
hsa-miR-199b-5p	FGF22	0.106
hsa-miR-383-3p	AMBP	0.282
hsa-miR-383-3p	FGF22	0.247
hsa-miR-4696	AMBP	0.0
hsa-miR-4696	FGF22	0.0
hsa-miR-8062	AMBP	0.0
hsa-miR-8062	FGF22	0.0
hsa-miR-518e-3p	FGF22	0.316
hsa-miR-518e-3p	AMBP	0.061
hsa-miR-7114-5p	AMBP	0.365
hsa-miR-7114-5p	FGF22	0.269
hsa-miR-6821-5p	FGF22	0.058
hsa-miR-6821-5p	AMBP	0.0
hsa-miR-6879-3p	AMBP	0.094
hsa-miR-6879-3p	FGF22	0.488
hsa-miR-5580-5p	FGF22	0.251
hsa-miR-5580-5p	AMBP	0.0
hsa-miR-8079	AMBP	0.0
hsa-miR-8079	FGF22	0.0
hsa-miR-527	FGF22	0.271
hsa-miR-527	AMBP	0.0
hsa-miR-450a-1-3p	AMBP	0.0
hsa-miR-450a-1-3p	FGF22	0.0
hsa-miR-4499	FGF22	0.0
hsa-miR-4499	AMBP	0.347
hsa-miR-4781-5p	AMBP	0.0
hsa-miR-4781-5p	FGF22	0.0
hsa-miR-1321	FGF22	0.394
hsa-miR-1321	AMBP	0.0
hsa-miR-585-3p	FGF22	0.411
hsa-miR-585-3p	AMBP	0.0
hsa-miR-4305	AMBP	1.149
hsa-miR-4305	FGF22	0.794
hsa-miR-2276-5p	AMBP	0.0
hsa-miR-2276-5p	FGF22	0.826
hsa-miR-329-3p	AMBP	0.0
hsa-miR-329-3p	FGF22	0.0
hsa-miR-1915-5p	FGF22	0.497
hsa-miR-1915-5p	AMBP	0.0
hsa-miR-224-5p	AMBP	0.0
hsa-miR-224-5p	FGF22	0.0
hsa-miR-6840-3p	AMBP	0.0
hsa-miR-6840-3p	FGF22	0.473
hsa-miR-6072	FGF22	0.443
hsa-miR-6072	AMBP	0.184
hsa-miR-6079	AMBP	0.0
hsa-miR-6079	FGF22	0.0
hsa-miR-6511b-5p	AMBP	0.0
hsa-miR-6511b-5p	FGF22	0.0
hsa-miR-548ax	AMBP	0.0
hsa-miR-548ax	FGF22	0.0
hsa-miR-144-3p	AMBP	0.0
hsa-miR-144-3p	FGF22	0.0
hsa-miR-4700-5p	FGF22	0.157
hsa-miR-4700-5p	AMBP	0.0
hsa-miR-4442	AMBP	0.876
hsa-miR-4442	FGF22	0.674
hsa-miR-3945	FGF22	0.0
hsa-miR-3945	AMBP	0.0
hsa-miR-4713-5p	AMBP	0.121
hsa-miR-4713-5p	FGF22	0.44
hsa-miR-520h	AMBP	0.041
hsa-miR-520h	FGF22	0.0
hsa-miR-3616-3p	AMBP	0.259
hsa-miR-3616-3p	FGF22	0.272
hsa-miR-499a-5p	AMBP	0.0
hsa-miR-499a-5p	FGF22	0.0
hsa-miR-4532	FGF22	1.483
hsa-miR-4532	AMBP	2.035
hsa-miR-4311	AMBP	0.0
hsa-miR-4311	FGF22	0.136
hsa-miR-4514	FGF22	0.537
hsa-miR-4514	AMBP	0.0
hsa-miR-374a-3p	FGF22	0.0
hsa-miR-374a-3p	AMBP	0.0
hsa-miR-141-3p	AMBP	0.0
hsa-miR-141-3p	FGF22	0.0
hsa-miR-6856-5p	FGF22	0.0
hsa-miR-6856-5p	AMBP	0.0
hsa-miR-186-5p	AMBP	0.0
hsa-miR-186-5p	FGF22	0.0
hsa-miR-339-5p	AMBP	0.0
hsa-miR-339-5p	FGF22	0.073
hsa-miR-486-5p	FGF22	0.349
hsa-miR-486-5p	AMBP	0.36
hsa-miR-3927-5p	AMBP	0.226
hsa-miR-3927-5p	FGF22	0.382
hsa-miR-7515	AMBP	0.0
hsa-miR-7515	FGF22	0.0
hsa-miR-548j-5p	AMBP	0.0
hsa-miR-548j-5p	FGF22	0.0
hsa-miR-548ay-5p	AMBP	0.0
hsa-miR-548ay-5p	FGF22	0.0
hsa-miR-3936	AMBP	0.0
hsa-miR-3936	FGF22	0.0
hsa-miR-4320	AMBP	0.68
hsa-miR-4320	FGF22	1.173
hsa-miR-4782-3p	AMBP	0.0
hsa-miR-4782-3p	FGF22	0.0
hsa-miR-1273h-5p	FGF22	0.509
hsa-miR-1273h-5p	AMBP	0.563
hsa-miR-6823-3p	AMBP	0.004
hsa-miR-6823-3p	FGF22	0.186
hsa-miR-3117-5p	FGF22	0.0
hsa-miR-3117-5p	AMBP	0.0
hsa-miR-218-5p	AMBP	0.0
hsa-miR-218-5p	FGF22	0.0
hsa-miR-663b	AMBP	0.059
hsa-miR-663b	FGF22	0.297
hsa-miR-1279	AMBP	0.0
hsa-miR-1279	FGF22	0.0
hsa-miR-4656	AMBP	0.0
hsa-miR-4656	FGF22	0.004
hsa-miR-135a-5p	FGF22	0.0
hsa-miR-135a-5p	AMBP	0.0
hsa-miR-3922-5p	FGF22	0.11
hsa-miR-3922-5p	AMBP	0.258
hsa-miR-3186-5p	FGF22	0.0
hsa-miR-3186-5p	AMBP	0.11
hsa-miR-6785-5p	AMBP	0.055
hsa-miR-6785-5p	FGF22	0.017
hsa-miR-6723-5p	AMBP	0.0
hsa-miR-6723-5p	FGF22	0.0
hsa-miR-2053	AMBP	0.0
hsa-miR-2053	FGF22	0.0
hsa-miR-1587	FGF22	0.418
hsa-miR-1587	AMBP	0.36
hsa-miR-93-5p	FGF22	0.0
hsa-miR-93-5p	AMBP	0.0
hsa-miR-376c-5p	AMBP	0.0
hsa-miR-376c-5p	FGF22	0.263
hsa-miR-6816-5p	FGF22	0.385
hsa-miR-6816-5p	AMBP	0.0
hsa-miR-4452	AMBP	0.0
hsa-miR-4452	FGF22	0.0
hsa-miR-548k	AMBP	0.0
hsa-miR-548k	FGF22	0.0
hsa-miR-6736-5p	AMBP	0.068
hsa-miR-6736-5p	FGF22	0.638
hsa-miR-1236-5p	FGF22	0.1
hsa-miR-1236-5p	AMBP	0.0
hsa-miR-764	FGF22	0.179
hsa-miR-764	AMBP	0.0
hsa-miR-208b-5p	AMBP	0.0
hsa-miR-208b-5p	FGF22	0.0
hsa-miR-4482-5p	AMBP	0.0
hsa-miR-4482-5p	FGF22	0.0
hsa-miR-6866-3p	AMBP	0.135
hsa-miR-6866-3p	FGF22	0.277
hsa-miR-518f-5p	AMBP	0.064
hsa-miR-518f-5p	FGF22	0.0
hsa-miR-4330	AMBP	0.431
hsa-miR-4330	FGF22	0.726
hsa-miR-6511b-3p	AMBP	0.0
hsa-miR-6511b-3p	FGF22	0.225
hsa-miR-6750-5p	AMBP	0.0
hsa-miR-6750-5p	FGF22	0.0
hsa-miR-4501	AMBP	0.0
hsa-miR-4501	FGF22	0.0
hsa-miR-8067	AMBP	0.0
hsa-miR-8067	FGF22	0.0
hsa-miR-4803	FGF22	0.0
hsa-miR-4803	AMBP	0.0
hsa-miR-887-5p	AMBP	0.121
hsa-miR-887-5p	FGF22	0.584
hsa-miR-6509-3p	AMBP	0.0
hsa-miR-6509-3p	FGF22	0.0
hsa-miR-7107-5p	AMBP	0.0
hsa-miR-7107-5p	FGF22	0.243
hsa-miR-4772-3p	AMBP	0.036
hsa-miR-4772-3p	FGF22	0.0
hsa-miR-614	AMBP	0.0
hsa-miR-614	FGF22	0.0
hsa-miR-3193	AMBP	0.0
hsa-miR-3193	FGF22	0.25
hsa-miR-4783-3p	FGF22	0.296
hsa-miR-4783-3p	AMBP	0.0
hsa-miR-1250-3p	AMBP	0.0
hsa-miR-1250-3p	FGF22	0.0
hsa-miR-6761-3p	FGF22	0.39
hsa-miR-6761-3p	AMBP	0.103
hsa-miR-6734-3p	FGF22	0.169
hsa-miR-6734-3p	AMBP	0.07
hsa-miR-892a	FGF22	0.263
hsa-miR-892a	AMBP	0.058
hsa-miR-379-3p	AMBP	0.0
hsa-miR-379-3p	FGF22	0.0
hsa-miR-1304-3p	AMBP	0.0
hsa-miR-1304-3p	FGF22	0.255
hsa-miR-4530	FGF22	1.382
hsa-miR-4530	AMBP	0.124
hsa-miR-4707-5p	FGF22	0.0
hsa-miR-4707-5p	AMBP	0.0
hsa-miR-6068	FGF22	0.573
hsa-miR-6068	AMBP	0.0
hsa-miR-24-1-5p	FGF22	0.046
hsa-miR-24-1-5p	AMBP	0.0
hsa-miR-3689e	FGF22	0.0
hsa-miR-3689e	AMBP	0.0
hsa-miR-5584-3p	AMBP	0.0
hsa-miR-5584-3p	FGF22	0.112
hsa-miR-5010-5p	AMBP	0.0
hsa-miR-5010-5p	FGF22	0.109
hsa-miR-6125	FGF22	0.627
hsa-miR-6125	AMBP	0.0
hsa-miR-6835-3p	FGF22	0.0
hsa-miR-6835-3p	AMBP	0.0
hsa-miR-4424	AMBP	0.0
hsa-miR-4424	FGF22	0.0
hsa-miR-7703	AMBP	0.0
hsa-miR-7703	FGF22	0.121
hsa-miR-652-5p	AMBP	0.0
hsa-miR-652-5p	FGF22	0.0
hsa-miR-4272	FGF22	0.0
hsa-miR-4272	AMBP	0.0
hsa-miR-3691-3p	AMBP	0.0
hsa-miR-3691-3p	FGF22	0.0
hsa-miR-3183	AMBP	0.296
hsa-miR-3183	FGF22	0.0
hsa-miR-6863	FGF22	0.0
hsa-miR-6863	AMBP	0.0
hsa-miR-3942-3p	AMBP	0.0
hsa-miR-3942-3p	FGF22	0.0
hsa-miR-1244	AMBP	0.0
hsa-miR-1244	FGF22	0.0
hsa-miR-6812-5p	FGF22	0.0
hsa-miR-6812-5p	AMBP	0.0
hsa-miR-556-3p	AMBP	0.0
hsa-miR-556-3p	FGF22	0.0
hsa-miR-373-5p	AMBP	0.0
hsa-miR-373-5p	FGF22	0.0
hsa-miR-564	FGF22	1.127
hsa-miR-564	AMBP	1.133
hsa-miR-548o-5p	AMBP	0.0
hsa-miR-548o-5p	FGF22	0.0
hsa-miR-367-3p	AMBP	0.0
hsa-miR-367-3p	FGF22	0.0
hsa-miR-601	FGF22	0.105
hsa-miR-601	AMBP	0.101
hsa-miR-4327	AMBP	0.831
hsa-miR-4327	FGF22	0.635
hsa-miR-4665-3p	FGF22	0.0
hsa-miR-4665-3p	AMBP	0.0
hsa-miR-4437	AMBP	0.0
hsa-miR-4437	FGF22	0.841
hsa-miR-548aq-3p	FGF22	0.0
hsa-miR-548aq-3p	AMBP	0.0
hsa-miR-5191	FGF22	0.0
hsa-miR-5191	AMBP	0.0
hsa-miR-4738-3p	FGF22	0.135
hsa-miR-4738-3p	AMBP	0.0
hsa-miR-876-3p	AMBP	0.0
hsa-miR-876-3p	FGF22	0.0
hsa-miR-6792-3p	AMBP	0.396
hsa-miR-6792-3p	FGF22	0.473
hsa-miR-3922-3p	AMBP	0.0
hsa-miR-3922-3p	FGF22	0.497
hsa-miR-423-5p	AMBP	0.0
hsa-miR-423-5p	FGF22	0.216
hsa-miR-1272	AMBP	0.0
hsa-miR-1272	FGF22	0.0
hsa-miR-4434	AMBP	1.05
hsa-miR-4434	FGF22	1.317
hsa-miR-200a-3p	AMBP	0.0
hsa-miR-200a-3p	FGF22	0.0
hsa-miR-6870-5p	AMBP	0.55
hsa-miR-6870-5p	FGF22	0.974
hsa-miR-509-5p	AMBP	0.0
hsa-miR-509-5p	FGF22	0.172
hsa-miR-4313	FGF22	0.784
hsa-miR-4313	AMBP	0.0
hsa-miR-944	AMBP	0.0
hsa-miR-944	FGF22	0.0
hsa-miR-3184-3p	FGF22	0.0
hsa-miR-3184-3p	AMBP	0.151
hsa-miR-548e-3p	FGF22	0.0
hsa-miR-548e-3p	AMBP	0.0
hsa-miR-29b-1-5p	AMBP	0.0
hsa-miR-29b-1-5p	FGF22	0.0
hsa-miR-1265	FGF22	0.0
hsa-miR-1265	AMBP	0.0
hsa-miR-548ac	AMBP	0.0
hsa-miR-548ac	FGF22	0.0
hsa-miR-1343-3p	AMBP	0.0
hsa-miR-1343-3p	FGF22	0.431
hsa-miR-515-3p	FGF22	0.532
hsa-miR-515-3p	AMBP	0.104
hsa-miR-5694	AMBP	0.171
hsa-miR-5694	FGF22	0.0
hsa-miR-3166	AMBP	0.0
hsa-miR-3166	FGF22	0.0
hsa-miR-203b-5p	AMBP	0.427
hsa-miR-203b-5p	FGF22	0.173
hsa-miR-410-3p	AMBP	0.0
hsa-miR-410-3p	FGF22	0.04
hsa-miR-4317	AMBP	0.317
hsa-miR-4317	FGF22	0.365
hsa-miR-3164	AMBP	0.0
hsa-miR-3164	FGF22	0.257
hsa-miR-365b-3p	AMBP	0.0
hsa-miR-365b-3p	FGF22	0.0
hsa-miR-216a-5p	FGF22	0.0
hsa-miR-216a-5p	AMBP	0.0
hsa-miR-514a-5p	AMBP	0.0
hsa-miR-514a-5p	FGF22	0.0
hsa-miR-3190-5p	FGF22	0.546
hsa-miR-3190-5p	AMBP	0.445
hsa-miR-6795-5p	FGF22	0.0
hsa-miR-6795-5p	AMBP	0.0
hsa-miR-4467	AMBP	0.232
hsa-miR-4467	FGF22	0.644
hsa-miR-6734-5p	FGF22	0.248
hsa-miR-6734-5p	AMBP	0.0
hsa-miR-155-5p	AMBP	0.0
hsa-miR-155-5p	FGF22	0.0
hsa-miR-1183	FGF22	0.0
hsa-miR-1183	AMBP	0.0
hsa-miR-548x-3p	AMBP	0.0
hsa-miR-548x-3p	FGF22	0.0
hsa-miR-4694-3p	FGF22	0.0
hsa-miR-4694-3p	AMBP	0.0
hsa-miR-3144-5p	AMBP	0.0
hsa-miR-3144-5p	FGF22	0.0
hsa-let-7d-3p	AMBP	0.0
hsa-let-7d-3p	FGF22	0.0
hsa-miR-520g-5p	FGF22	0.337
hsa-miR-520g-5p	AMBP	0.0
hsa-miR-7854-3p	AMBP	0.18
hsa-miR-7854-3p	FGF22	0.195
hsa-miR-3652	FGF22	0.706
hsa-miR-3652	AMBP	0.652
hsa-miR-1275	FGF22	0.781
hsa-miR-1275	AMBP	1.387
hsa-miR-500a-3p	AMBP	0.0
hsa-miR-500a-3p	FGF22	0.0
hsa-miR-552-3p	AMBP	0.015
hsa-miR-552-3p	FGF22	0.0
hsa-miR-22-3p	AMBP	0.0
hsa-miR-22-3p	FGF22	0.0
hsa-miR-219a-2-3p	FGF22	0.0
hsa-miR-219a-2-3p	AMBP	0.0
hsa-miR-570-5p	AMBP	0.0
hsa-miR-570-5p	FGF22	0.0
hsa-miR-411-5p	FGF22	0.0
hsa-miR-411-5p	AMBP	0.0
hsa-miR-1288-5p	FGF22	0.0
hsa-miR-1288-5p	AMBP	0.0
hsa-miR-6884-3p	FGF22	0.209
hsa-miR-6884-3p	AMBP	0.077
hsa-miR-891b	AMBP	0.0
hsa-miR-891b	FGF22	0.0
hsa-miR-3606-5p	AMBP	0.112
hsa-miR-3606-5p	FGF22	0.0
hsa-miR-3147	FGF22	0.288
hsa-miR-3147	AMBP	0.0
hsa-miR-1247-3p	FGF22	0.113
hsa-miR-1247-3p	AMBP	0.0
hsa-miR-5700	FGF22	0.0
hsa-miR-4653-3p	AMBP	0.223
hsa-miR-4653-3p	FGF22	0.175
hsa-miR-1252-3p	AMBP	0.0
hsa-miR-1252-3p	FGF22	0.0
hsa-miR-5090	FGF22	0.0
hsa-miR-5090	AMBP	0.267
hsa-miR-365a-3p	AMBP	0.0
hsa-miR-365a-3p	FGF22	0.0
hsa-miR-7154-3p	AMBP	0.0
hsa-miR-7154-3p	FGF22	0.667
hsa-miR-3179	FGF22	0.0
hsa-miR-3179	AMBP	0.0
hsa-miR-6792-5p	FGF22	0.0
hsa-miR-6792-5p	AMBP	0.0
hsa-miR-3152-5p	AMBP	0.0
hsa-miR-3152-5p	FGF22	0.0
hsa-miR-744-3p	FGF22	0.581
hsa-miR-744-3p	AMBP	0.0
hsa-miR-138-2-3p	AMBP	0.0
hsa-miR-138-2-3p	FGF22	0.0
hsa-miR-8084	AMBP	0.018
hsa-miR-8084	FGF22	0.0
hsa-miR-5707	FGF22	0.0
hsa-miR-5707	AMBP	0.0
hsa-miR-8081	AMBP	0.342
hsa-miR-8081	FGF22	0.0
hsa-miR-502-3p	FGF22	0.0
hsa-miR-502-3p	AMBP	0.0
hsa-miR-3937	AMBP	0.0
hsa-miR-3937	FGF22	0.0
hsa-miR-3064-5p	AMBP	0.0
hsa-miR-3064-5p	FGF22	0.0
hsa-miR-509-3-5p	AMBP	0.126
hsa-miR-509-3-5p	FGF22	0.0
hsa-miR-889-5p	AMBP	0.0
hsa-miR-889-5p	FGF22	0.296
hsa-miR-6745	AMBP	0.0
hsa-miR-6745	FGF22	0.344
hsa-miR-3918	FGF22	0.0
hsa-miR-3918	AMBP	0.303
hsa-miR-4755-5p	FGF22	0.231
hsa-miR-4755-5p	AMBP	0.0
