Function ID	Function Description
2535	histone modification [GO:0016570]
2536	negative regulation of transposition [GO:0010529]
2537	peptidyl-lysine desuccinylation [GO:0036049]
2538	positive regulation of rRNA processing [GO:2000234]
2539	positive regulation of transcription involved in exit from mitosis [GO:0007072]
2540	protein deacetylation [GO:0006476]
2541	protein deglutarylation [GO:0061698]
2542	protein depropionylation [GO:0106230]
2543	regulation of gluconeogenesis [GO:0006111]
2544	regulation of mitochondrion organization [GO:0010821]
2545	regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901836]
2546	R-loop disassembly [GO:0062176]
2547	rRNA transcription [GO:0009303]
2548	cholesterol catabolic process [GO:0006707]
2549	SNARE complex disassembly [GO:0035494]
2550	synaptic transmission, glutamatergic [GO:0035249]
2551	agmatine biosynthetic process [GO:0097055]
2552	putrescine biosynthetic process from arginine, using agmatinase [GO:0033389]
2553	spermidine biosynthetic process [GO:0008295]
2554	regulation of microtubule polymerization or depolymerization [GO:0031110]
2555	bud elongation involved in lung branching [GO:0060449]
2556	epithelial to mesenchymal transition involved in cardiac fibroblast development [GO:0060940]
2557	establishment of mitotic spindle orientation [GO:0000132]
2558	negative regulation of lens fiber cell differentiation [GO:1902747]
2559	negative regulation of neurotrophin TRK receptor signaling pathway [GO:0051387]
2560	organ induction [GO:0001759]
2561	ureteric bud development [GO:0001657]
2562	selenium compound metabolic process [GO:0001887]
2563	selenocysteine biosynthetic process [GO:0016260]
2564	selenocysteine metabolic process [GO:0016259]
2565	cell growth involved in cardiac muscle cell development [GO:0061049]
2566	negative regulation of protein secretion [GO:0050709]
2567	negative regulation of protein tyrosine kinase activity [GO:0061099]
2568	positive regulation of protein tyrosine kinase activity [GO:0061098]
2569	regulation of dendritic spine morphogenesis [GO:0061001]
2570	excitatory chemical synaptic transmission [GO:0098976]
2571	positive regulation of AMPA glutamate receptor clustering [GO:1904719]
2572	positive regulation of neuron death [GO:1901216]
2573	positive regulation of synaptic plasticity [GO:0031915]
2574	positive regulation of vascular associated smooth muscle cell migration [GO:1904754]
2575	regulation of cellular protein metabolic process [GO:0032268]
2576	cellular response to hydrogen peroxide [GO:0070301]
2577	DNA biosynthetic process [GO:0071897]
2578	negative regulation of ceramide biosynthetic process [GO:1900060]
2579	positive regulation of mitotic nuclear division [GO:0045840]
2580	positive regulation of peptidyl-threonine phosphorylation [GO:0010800]
2581	regulation of endosomal vesicle fusion [GO:1905364]
2582	regulation of interleukin-1 beta production [GO:0032651]
2583	regulation of microglial cell activation [GO:1903978]
2584	regulation of phagocytosis [GO:0050764]
2585	response to tumor necrosis factor [GO:0034612]
2586	sphingoid catabolic process [GO:0046521]
2587	sphingosine biosynthetic process [GO:0046512]
2588	cilium movement [GO:0003341]
2589	filopodium assembly [GO:0046847]
2590	regulation of Wnt signaling pathway, planar cell polarity pathway [GO:2000095]
2591	pyrimidine nucleoside salvage [GO:0043097]
2592	regulation of fatty acid beta-oxidation [GO:0031998]
2593	wybutosine biosynthetic process [GO:0031591]
2594	anterior/posterior pattern specification [GO:0009952]
2595	B cell differentiation [GO:0030183]
2596	camera-type eye morphogenesis [GO:0048593]
2597	cell development [GO:0048468]
2598	cellular response to UV [GO:0034644]
2599	chromosome organization [GO:0051276]
2600	immunoglobulin heavy chain V-D-J recombination [GO:0071707]
2601	negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]
2602	negative regulation of pri-miRNA transcription by RNA polymerase II [GO:1902894]
2603	response to prostaglandin F [GO:0034696]
2604	response to UV-C [GO:0010225]
2605	RNA localization [GO:0006403]
2606	aggresome assembly [GO:0070842]
2607	protein modification by small protein conjugation [GO:0032446]
2608	regulation of mitotic cell cycle phase transition [GO:1901990]
2609	histone H2A ubiquitination [GO:0033522]
2610	histone ubiquitination [GO:0016574]
2611	telomere maintenance via telomere lengthening [GO:0010833]
2612	histone lysine demethylation [GO:0070076]
2613	meiotic telomere clustering [GO:0045141]
2614	negative regulation of cAMP-mediated signaling [GO:0043951]
2615	negative regulation of histone phosphorylation [GO:0033128]
2616	positive regulation of reciprocal meiotic recombination [GO:0010845]
2617	synaptonemal complex organization [GO:0070193]
2618	anaphase-promoting complex-dependent catabolic process [GO:0031145]
2619	exit from mitosis [GO:0010458]
2620	free ubiquitin chain polymerization [GO:0010994]
2621	positive regulation of exit from mitosis [GO:0031536]
2622	regulation of mitotic metaphase/anaphase transition [GO:0030071]
2623	negative regulation of caveolin-mediated endocytosis [GO:2001287]
2624	negative regulation of clathrin-dependent endocytosis [GO:1900186]
2625	phototransduction [GO:0007602]
2626	cellular response to interferon-beta [GO:0035458]
2627	positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]
2628	positive regulation of type I interferon-mediated signaling pathway [GO:0060340]
2629	CAAX-box protein processing [GO:0071586]
2630	negative regulation of histone deacetylation [GO:0031064]
2631	negative regulation of protein targeting to membrane [GO:0090315]
2632	positive regulation of MDA-5 signaling pathway [GO:1900245]
2633	positive regulation of RIG-I signaling pathway [GO:1900246]
2634	regulation of defense response to virus by host [GO:0050691]
2635	regulation of G2/MI transition of meiotic cell cycle [GO:0110030]
2636	DNA double-strand break processing [GO:0000729]
2637	positive regulation of DNA repair [GO:0045739]
2638	positive regulation of histone modification [GO:0031058]
2639	positive regulation of ubiquitin-protein transferase activity [GO:0051443]
2640	regulation of histone ubiquitination [GO:0033182]
2641	protein deubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0071947]
2642	protein K6-linked ubiquitination [GO:0085020]
2643	cellular response to misfolded protein [GO:0071218]
2644	androgen receptor signaling pathway [GO:0030521]
2645	cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]
2646	locomotory exploration behavior [GO:0035641]
2647	motor learning [GO:0061743]
2648	negative regulation of dendritic spine morphogenesis [GO:0061002]
2649	ovarian follicle development [GO:0001541]
2650	positive regulation of Golgi lumen acidification [GO:1905528]
2651	prostate gland growth [GO:0060736]
2652	regulation of ubiquitin-dependent protein catabolic process [GO:2000058]
2653	response to progesterone [GO:0032570]
2654	sperm entry [GO:0035037]
2655	granzyme-mediated apoptotic signaling pathway [GO:0008626]
2656	positive regulation of transcription by RNA polymerase I [GO:0045943]
2657	embryonic lung development [GO:1990401]
2658	limb morphogenesis [GO:0035108]
2659	morphogenesis of an epithelium [GO:0002009]
2660	5S class rRNA transcription by RNA polymerase III [GO:0042791]
2661	tRNA transcription [GO:0009304]
2662	tRNA transcription by RNA polymerase III [GO:0042797]
2663	cell redox homeostasis [GO:0045454]
2664	glycerol ether metabolic process [GO:0006662]
2665	negative regulation of hydrogen peroxide-induced cell death [GO:1903206]
2666	negative regulation of protein export from nucleus [GO:0046826]
2667	positive regulation of peptidyl-cysteine S-nitrosylation [GO:2000170]
2668	response to nitric oxide [GO:0071731]
2669	response to radiation [GO:0009314]
2670	electron transport chain [GO:0022900]
2671	neuron development [GO:0048666]
2672	positive regulation of MAP kinase activity [GO:0043406]
2673	regulation of transcription by RNA polymerase III [GO:0006359]
2674	cellular process [GO:0009987]
2675	cytoskeleton-dependent intracellular transport [GO:0030705]
2676	regulation of receptor recycling [GO:0001919]
2677	centrosome cycle [GO:0007098]
2678	protein localization to microtubule [GO:0035372]
2679	gene silencing by miRNA [GO:0035195]
2680	miRNA mediated inhibition of translation [GO:0035278]
2681	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]
2682	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]
2683	detection of temperature stimulus [GO:0016048]
2684	thermoception [GO:0050955]
2685	detection of chemical stimulus involved in sensory perception of pain [GO:0050968]
2686	detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]
2687	response to pain [GO:0048265]
2688	negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway [GO:0039532]
2689	regulation of cytokine production [GO:0001817]
2690	lipid transport [GO:0006869]
2691	membrane raft distribution [GO:0031580]
2692	regulation of cholesterol efflux [GO:0010874]
2693	regulation of Notch signaling pathway [GO:0008593]
2694	alternative mRNA splicing, via spliceosome [GO:0000380]
2695	mRNA splice site selection [GO:0006376]
2696	primary miRNA processing [GO:0031053]
2697	cytidine to uridine editing [GO:0016554]
2698	plasma membrane to endosome transport [GO:0048227]
2699	platelet dense granule organization [GO:0060155]
2700	positive regulation of phosphatidylcholine biosynthetic process [GO:2001247]
2701	establishment of neuroblast polarity [GO:0045200]
2702	establishment of protein localization to membrane [GO:0090150]
2703	protein localization to basolateral plasma membrane [GO:1903361]
2704	somite specification [GO:0001757]
2705	regulation of cellular senescence [GO:2000772]
2706	negative regulation of type I interferon production [GO:0032480]
2707	protein catabolic process, modulating synaptic transmission [GO:0099546]
2708	regulation of interferon-beta production [GO:0032648]
2709	leukocyte differentiation [GO:0002521]
2710	positive regulation of endothelial cell-matrix adhesion via fibronectin [GO:1904906]
2711	positive regulation of vasculogenesis [GO:2001214]
2712	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]
2713	mitotic metaphase plate congression [GO:0007080]
2714	protein localization to nucleolus [GO:1902570]
2715	regulation of signal transduction by p53 class mediator [GO:1901796]
2716	cell death in response to hydrogen peroxide [GO:0036474]
2717	protein homotrimerization [GO:0070207]
2718	regulation of neuron apoptotic process [GO:0043523]
2719	tRNA 5'-leader removal [GO:0001682]
2720	DNA catabolic process, endonucleolytic [GO:0000737]
2721	double-strand break repair via nonhomologous end joining [GO:0006303]
2722	histone H3-K36 methylation [GO:0010452]
2723	mitotic DNA integrity checkpoint signaling [GO:0044774]
2724	negative regulation of chromosome organization [GO:2001251]
2725	nucleic acid phosphodiester bond hydrolysis [GO:0090305]
2726	positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]
2727	replication fork processing [GO:0031297]
2728	establishment or maintenance of actin cytoskeleton polarity [GO:0030950]
2729	regulation of cellular response to oxidative stress [GO:1900407]
2730	TORC2 signaling [GO:0038203]
2731	oocyte differentiation [GO:0009994]
2732	tyrosyl-tRNA aminoacylation [GO:0006437]
2733	negative regulation of fat cell differentiation [GO:0045599]
2734	positive regulation of epithelial to mesenchymal transition [GO:0010718]
2735	ubiquitin-dependent SMAD protein catabolic process [GO:0030579]
2736	embryonic heart tube morphogenesis [GO:0003143]
2737	embryonic organ development [GO:0048568]
2738	lateral mesoderm development [GO:0048368]
2739	paraxial mesoderm development [GO:0048339]
2740	regulation of stem cell differentiation [GO:2000736]
2741	dendrite development [GO:0016358]
2742	neuron death in response to oxidative stress [GO:0036475]
2743	synaptic vesicle recycling via endosome [GO:0036466]
2744	positive regulation of cytotoxic T cell differentiation [GO:0045585]
2745	protein insertion into ER membrane [GO:0045048]
2746	carnitine biosynthetic process [GO:0045329]
2747	negative regulation of oxidoreductase activity [GO:0051354]
2748	antimicrobial humoral response [GO:0019730]
2749	collagen catabolic process [GO:0030574]
2750	cellular response to gamma radiation [GO:0071480]
2751	negative regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903070]
2752	regulation of chemotaxis [GO:0050920]
2753	regulation of proteasomal protein catabolic process [GO:0061136]
2754	cell morphogenesis involved in neuron differentiation [GO:0048667]
2755	negative regulation of cytoplasmic translation [GO:2000766]
2756	histone H2B conserved C-terminal lysine deubiquitination [GO:0035616]
2757	monoubiquitinated protein deubiquitination [GO:0035520]
2758	negative regulation of antifungal innate immune response [GO:1905035]
2759	pathway-restricted SMAD protein phosphorylation [GO:0060389]
2760	protein K27-linked deubiquitination [GO:1990167]
2761	positive regulation of protein polyubiquitination [GO:1902916]
2762	ISG15-protein conjugation [GO:0032020]
2763	positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]
2764	positive regulation of SUMO transferase activity [GO:1903755]
2765	ATP synthesis coupled proton transport [GO:0015986]
2766	transposition, DNA-mediated [GO:0006313]
2767	urea transmembrane transport [GO:0071918]
2768	urea transport [GO:0015840]
2769	positive regulation of stem cell population maintenance [GO:1902459]
2770	negative regulation of double-stranded telomeric DNA binding [GO:1905768]
2771	negative regulation of protection from non-homologous end joining at telomere [GO:1905765]
2772	negative regulation of telomerase activity [GO:0051974]
2773	negative regulation of telomere maintenance [GO:0032205]
2774	nucleotide-excision repair, DNA incision [GO:0033683]
2775	nucleotide-excision repair, DNA incision, 3'-to lesion [GO:0006295]
2776	nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]
2777	nucleotide-excision repair involved in interstrand cross-link repair [GO:1901255]
2778	telomeric DNA-containing double minutes formation [GO:0061819]
2779	UV protection [GO:0009650]
2780	regulation of extrathymic T cell differentiation [GO:0033082]
2781	regulation of natural killer cell differentiation [GO:0032823]
2782	regulation of natural killer cell differentiation involved in immune response [GO:0032826]
2783	regulation of NK T cell differentiation [GO:0051136]
2784	tRNA export from nucleus [GO:0006409]
2785	tRNA re-export from nucleus [GO:0071528]
2786	Cdc42 protein signal transduction [GO:0032488]
2787	negative regulation of cell motility [GO:2000146]
2788	positive regulation of double-strand break repair via homologous recombination [GO:1905168]
2789	regulation of actin polymerization or depolymerization [GO:0008064]
2790	regulation of T cell antigen processing and presentation [GO:0002625]
2791	hippocampus development [GO:0021766]
2792	neurotransmitter loading into synaptic vesicle [GO:0098700]
2793	chromatin silencing [GO:0006342]
2794	dosage compensation [GO:0007549]
2795	establishment of protein localization to chromatin [GO:0071169]
2796	negative regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901837]
2797	positive regulation of keratinocyte differentiation [GO:0045618]
2798	anterior neural tube closure [GO:0061713]
2799	cardiac ventricle morphogenesis [GO:0003208]
2800	epithelial cell morphogenesis [GO:0003382]
2801	epithelial cell morphogenesis involved in placental branching [GO:0060672]
2802	epithelium migration [GO:0090132]
2803	face development [GO:0060324]
2804	lung lobe morphogenesis [GO:0060463]
2805	negative regulation of keratinocyte differentiation [GO:0045617]
2806	cardiac myofibril assembly [GO:0055003]
2807	positive regulation of the force of heart contraction [GO:0098735]
2808	regulation of striated muscle contraction [GO:0006942]
2809	regulation of the force of heart contraction [GO:0002026]
2810	cellular homeostasis [GO:0019725]
2811	cell migration involved in sprouting angiogenesis [GO:0002042]
2812	negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]
2813	regulation of B cell proliferation [GO:0030888]
2814	regulation of insulin receptor signaling pathway [GO:0046626]
2815	establishment of mitotic sister chromatid cohesion [GO:0034087]
2816	histone acetylation [GO:0016573]
2817	mitotic sister chromatid cohesion, centromeric [GO:0071962]
2818	N-terminal protein amino acid acetylation [GO:0006474]
2819	regulation of inner ear auditory receptor cell differentiation [GO:0045607]
2820	cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]
2821	defense response to protozoan [GO:0042832]
2822	immunoglobulin mediated immune response [GO:0016064]
2823	induced systemic resistance [GO:0009682]
2824	interleukin-1-mediated signaling pathway [GO:0070498]
2825	leukocyte activation involved in inflammatory response [GO:0002269]
2826	lipopolysaccharide-mediated signaling pathway [GO:0031663]
2827	neutrophil activation involved in immune response [GO:0002283]
2828	neutrophil-mediated killing of bacterium [GO:0070944]
2829	positive regulation of cytokine production involved in inflammatory response [GO:1900017]
2830	positive regulation of interleukin-23 production [GO:0032747]
2831	positive regulation of lymphocyte proliferation [GO:0050671]
2832	positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]
2833	positive regulation of type I interferon production [GO:0032481]
2834	regulation of chemokine (C-X-C motif) ligand 1 production [GO:2000338]
2835	regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000341]
2836	response to molecule of fungal origin [GO:0002238]
2837	response to peptidoglycan [GO:0032494]
2838	toll-like receptor 8 signaling pathway [GO:0034158]
2839	Toll signaling pathway [GO:0008063]
2840	type I interferon signaling pathway [GO:0060337]
2841	arsonoacetate metabolic process [GO:0018872]
2842	DNA methylation on adenine [GO:0032775]
2843	methylation [GO:0032259]
2844	peptidyl-glutamine methylation [GO:0018364]
2845	toxin metabolic process [GO:0009404]
2846	neuronal action potential [GO:0019228]
2847	skeletal muscle tissue development [GO:0007519]
2848	vocalization behavior [GO:0071625]
2849	extraocular skeletal muscle development [GO:0002074]
2850	nitric oxide biosynthetic process [GO:0006809]
2851	spinal cord motor neuron migration [GO:0097476]
2852	histone H4-K16 acetylation [GO:0043984]
2853	histone H4-K5 acetylation [GO:0043981]
2854	histone H4-K8 acetylation [GO:0043982]
2855	positive regulation of histone H3-K27 methylation [GO:0061087]
2856	protein O-linked glycosylation [GO:0006493]
2857	regulation of glycolytic process [GO:0006110]
2858	regulation of necroptotic process [GO:0060544]
2859	cerebellar granule cell differentiation [GO:0021707]
2860	cerebral cortex neuron differentiation [GO:0021895]
2861	establishment of epithelial cell apical/basal polarity [GO:0045198]
2862	maintenance of postsynaptic specialization structure [GO:0098880]
2863	negative regulation of proteasomal protein catabolic process [GO:1901799]
2864	regulation of postsynaptic neurotransmitter receptor internalization [GO:0099149]
2865	RNA transport [GO:0050658]
2866	MDA-5 signaling pathway [GO:0039530]
2867	negative regulation of chemokine (C-C motif) ligand 5 production [GO:0071650]
2868	negative regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000342]
2869	negative regulation of chemokine (C-X-C motif) ligand 9 production [GO:0035395]
2870	negative regulation of IP-10 production [GO:0071659]
2871	positive regulation of monocyte chemotactic protein-1 production [GO:0071639]
2872	regulation of ribonuclease activity [GO:0060700]
2873	RIG-I signaling pathway [GO:0039529]
2874	mitochondrial acetyl-CoA biosynthetic process from pyruvate [GO:0061732]
2875	cellular response to UV-A [GO:0071492]
2876	protein-chromophore linkage [GO:0018298]
2877	cellular response to prostaglandin E stimulus [GO:0071380]
2878	phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]
2879	regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]
2880	transepithelial chloride transport [GO:0030321]
2881	regulation of phosphatase activity [GO:0010921]
2882	glycogen metabolic process [GO:0005977]
2883	regulation of glycogen biosynthetic process [GO:0005979]
2884	regulation of glycogen catabolic process [GO:0005981]
2885	L-serine biosynthetic process [GO:0006564]
2886	mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]
2887	cell wall disruption in other organism [GO:0044278]
2888	cytolysis by host of symbiont cells [GO:0051838]
2889	positive regulation of keratinocyte proliferation [GO:0010838]
2890	positive regulation of wound healing [GO:0090303]
2891	regulation of postsynapse organization [GO:0099175]
2892	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]
2893	leukotriene signaling pathway [GO:0061737]
2894	dorsal root ganglion development [GO:1990791]
2895	inactivation of MAPK activity [GO:0000188]
2896	negative regulation of dopamine receptor signaling pathway [GO:0060160]
2897	negative regulation of glycine import across plasma membrane [GO:1900924]
2898	negative regulation of potassium ion transmembrane transport [GO:1901380]
2899	regulation of actin filament organization [GO:0110053]
2900	response to morphine [GO:0043278]
2901	DNA strand elongation involved in DNA replication [GO:0006271]
2902	response to organophosphorus [GO:0046683]
2903	calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]
2904	positive regulation of inhibitory postsynaptic potential [GO:0097151]
2905	positive regulation of synaptic transmission [GO:0050806]
2906	regulation of membrane potential [GO:0042391]
2907	secretion [GO:0046903]
2908	toll-like receptor 5 signaling pathway [GO:0034146]
2909	positive regulation of calcium-dependent ATPase activity [GO:1903612]
2910	regulation of defense response to virus [GO:0050688]
2911	regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]
2912	TRIF-dependent toll-like receptor signaling pathway [GO:0035666]
2913	peptide catabolic process [GO:0043171]
2914	chromosome separation [GO:0051304]
2915	female meiosis chromosome segregation [GO:0016321]
2916	meiotic spindle assembly checkpoint signaling [GO:0033316]
2917	positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]
2918	protein localization to kinetochore [GO:0034501]
2919	protein localization to meiotic spindle midzone [GO:1903096]
2920	behavioral response to pain [GO:0048266]
2921	endothelial cell-cell adhesion [GO:0071603]
2922	positive regulation of cell division [GO:0051781]
2923	regulation of tissue remodeling [GO:0034103]
2924	negative regulation of protein import into nucleus [GO:0042308]
2925	regulation of intracellular estrogen receptor signaling pathway [GO:0033146]
2926	erythrocyte differentiation [GO:0030218]
2927	negative regulation of IRE1-mediated unfolded protein response [GO:1903895]
2928	response to L-glutamate [GO:1902065]
2929	negative regulation of G protein-coupled receptor internalization [GO:1904021]
2930	organelle fusion [GO:0048284]
2931	vacuole organization [GO:0007033]
2932	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]
2933	adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]
2934	ameboidal-type cell migration [GO:0001667]
2935	megakaryocyte development [GO:0035855]
2936	postsynaptic actin cytoskeleton organization [GO:0098974]
2937	negative regulation of dendritic cell differentiation [GO:2001199]
2938	negative regulation of granulocyte differentiation [GO:0030853]
2939	negative regulation of macrophage differentiation [GO:0045650]
2940	negative regulation of monocyte differentiation [GO:0045656]
2941	positive regulation of dendritic cell differentiation [GO:2001200]
2942	negative regulation of epidermal growth factor-activated receptor activity [GO:0007175]
2943	immune system process [GO:0002376]
2944	proteasomal ubiquitin-independent protein catabolic process [GO:0010499]
2945	regulation of cysteine-type endopeptidase activity [GO:2000116]
2946	DNA double-strand break processing involved in repair via single-strand annealing [GO:0010792]
2947	DNA recombinase assembly [GO:0000730]
2948	double-strand break repair via single-strand annealing [GO:0045002]
2949	regulation of nucleotide-excision repair [GO:2000819]
2950	cap-independent translational initiation [GO:0002190]
2951	circadian regulation of translation [GO:0097167]
2952	IRES-dependent translational initiation of linear mRNA [GO:0002192]
2953	negative regulation of translation in response to stress [GO:0032055]
2954	positive regulation of muscle cell differentiation [GO:0051149]
2955	regulation of nucleocytoplasmic transport [GO:0046822]
2956	somite development [GO:0061053]
2957	axon regeneration [GO:0031103]
2958	corpus callosum development [GO:0022038]
2959	negative regulation of axon regeneration [GO:0048681]
2960	mitochondrial respirasome assembly [GO:0097250]
2961	adenosine to inosine editing [GO:0006382]
2962	base conversion or substitution editing [GO:0016553]
2963	facial nerve morphogenesis [GO:0021610]
2964	hypoglossal nerve morphogenesis [GO:0021618]
2965	innervation [GO:0060384]
2966	motor behavior [GO:0061744]
2967	motor neuron apoptotic process [GO:0097049]
2968	muscle tissue morphogenesis [GO:0060415]
2969	negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]
2970	neuromuscular process controlling posture [GO:0050884]
2971	spinal cord ventral commissure morphogenesis [GO:0021965]
2972	regulation of intracellular transport [GO:0032386]
2973	ammonium transport [GO:0015696]
2974	transepithelial ammonium transport [GO:0070634]
2975	negative regulation of heart rate [GO:0010459]
2976	response to salt [GO:1902074]
2977	negative regulation of synaptic vesicle exocytosis [GO:2000301]
2978	Rap protein signal transduction [GO:0032486]
2979	axoneme assembly [GO:0035082]
2980	photoreceptor cell development [GO:0042461]
2981	negative regulation of Schwann cell proliferation [GO:0010626]
2982	D-ribose metabolic process [GO:0006014]
2983	pentose-phosphate shunt [GO:0006098]
2984	pentose-phosphate shunt, non-oxidative branch [GO:0009052]
2985	ribose phosphate metabolic process [GO:0019693]
2986	photoreceptor cell outer segment organization [GO:0035845]
2987	positive regulation of non-motile cilium assembly [GO:1902857]
2988	retinal rod cell development [GO:0046548]
2989	mitochondrial tRNA 3'-trailer cleavage, endonucleolytic [GO:0072684]
2990	tRNA 3'-end processing [GO:0042780]
2991	tRNA catabolic process [GO:0016078]
2992	negative regulation of DNA-binding transcription factor activity [GO:0043433]
2993	random inactivation of X chromosome [GO:0060816]
2994	regulation of dosage compensation by inactivation of X chromosome [GO:1900095]
2995	regulation of epidermal growth factor receptor signaling pathway [GO:0042058]
2996	mast cell activation [GO:0045576]
2997	positive regulation of T cell differentiation [GO:0045582]
2998	T cell differentiation [GO:0030217]
2999	positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]
3000	regulation of endothelial cell migration [GO:0010594]
3001	regulation of sprouting angiogenesis [GO:1903670]
3002	retina vasculature morphogenesis in camera-type eye [GO:0061299]
3003	enteric nervous system development [GO:0048484]
3004	glial cell-derived neurotrophic factor receptor signaling pathway [GO:0035860]
3005	lymphocyte migration into lymphoid organs [GO:0097021]
3006	neuron cell-cell adhesion [GO:0007158]
3007	neuron maturation [GO:0042551]
3008	Peyer's patch morphogenesis [GO:0061146]
3009	positive regulation of cell adhesion mediated by integrin [GO:0033630]
3010	positive regulation of metanephric glomerulus development [GO:0072300]
3011	positive regulation of peptidyl-serine phosphorylation of STAT protein [GO:0033141]
3012	posterior midgut development [GO:0007497]
3013	regulation of axonogenesis [GO:0050770]
3014	ureter maturation [GO:0035799]
3015	cilium-dependent cell motility [GO:0060285]
3016	epithelial cilium movement involved in determination of left/right asymmetry [GO:0060287]
3017	positive regulation of type B pancreatic cell development [GO:2000078]
3018	type B pancreatic cell maturation [GO:0072560]
3019	negative regulation of cardiac muscle cell apoptotic process [GO:0010667]
3020	regulation of Ral protein signal transduction [GO:0032485]
3021	L-ascorbic acid biosynthetic process [GO:0019853]
3022	liver regeneration [GO:0097421]
3023	negative regulation of bone development [GO:1903011]
3024	negative regulation of calcium-dependent ATPase activity [GO:1903611]
3025	negative regulation of cyclic-nucleotide phosphodiesterase activity [GO:0051344]
3026	negative regulation of DNA biosynthetic process [GO:2000279]
3027	negative regulation of DNA catabolic process [GO:1903625]
3028	negative regulation of flagellated sperm motility [GO:1901318]
3029	negative regulation of leucine-tRNA ligase activity [GO:1903634]
3030	negative regulation of RNA biosynthetic process [GO:1902679]
3031	positive regulation of dUTP diphosphatase activity [GO:1903629]
3032	positive regulation of fatty acid biosynthetic process [GO:0045723]
3033	positive regulation of glucose metabolic process [GO:0010907]
3034	positive regulation of phosphatase activity [GO:0010922]
3035	positive regulation of proteolysis involved in cellular protein catabolic process [GO:1903052]
3036	positive regulation of superoxide dismutase activity [GO:1901671]
3037	positive regulation of triglyceride biosynthetic process [GO:0010867]
3038	regulation of calcium-mediated signaling [GO:0050848]
3039	intracellular pH elevation [GO:0051454]
3040	membrane hyperpolarization [GO:0060081]
3041	fructose transmembrane transport [GO:0015755]
3042	negative regulation of ion transmembrane transport [GO:0034766]
3043	positive regulation of cell motility [GO:2000147]
3044	response to auditory stimulus [GO:0010996]
3045	response to potassium ion [GO:0035864]
3046	response to salicylic acid [GO:0009751]
3047	response to thyroid hormone [GO:0097066]
3048	positive regulation of translation in response to stress [GO:0032056]
3049	cell communication [GO:0007154]
3050	B-1 B cell homeostasis [GO:0001922]
3051	regulation of metabolic process [GO:0019222]
3052	sensory organ development [GO:0007423]
3053	sex determination [GO:0007530]
3054	cellular response to low-density lipoprotein particle stimulus [GO:0071404]
3055	negative regulation of monocyte chemotactic protein-1 production [GO:0071638]
3056	negative regulation of T-helper 2 cell differentiation [GO:0045629]
3057	positive regulation of T-helper 1 cell differentiation [GO:0045627]
3058	vascular endothelial cell response to fluid shear stress [GO:0097699]
3059	indolalkylamine biosynthetic process [GO:0046219]
3060	melatonin biosynthetic process [GO:0030187]
3061	photoperiodism [GO:0009648]
3062	response to copper ion [GO:0046688]
3063	response to prostaglandin E [GO:0034695]
3064	response to denervation involved in regulation of muscle adaptation [GO:0014894]
3065	skeletal muscle tissue regeneration [GO:0043403]
3066	cellular response to camptothecin [GO:0072757]
3067	cellular response to ionizing radiation [GO:0071479]
3068	regulation of establishment of protein localization to chromosome [GO:0070202]
3069	long-chain fatty acid import into cell [GO:0044539]
3070	negative regulation of appetite [GO:0032099]
3071	negative regulation of renal sodium excretion [GO:0035814]
3072	regulation of sensory perception of pain [GO:0051930]
3073	metaphase plate congression [GO:0051310]
3074	mitotic spindle assembly [GO:0090307]
3075	tetrahydrobiopterin biosynthetic process [GO:0006729]
