	ID_Geneontology_cellularcomponent__	Gene ontology (cellular component)
2202	chromatin [GO:0000785]; euchromatin [GO:0000791]; heterochromatin [GO:0000792]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork [GO:0005657]	2202
2203	cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nucleus [GO:0005634]	2203
2204	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]	2204
2205	extracellular region [GO:0005576]; neuron projection [GO:0043005]; perikaryon [GO:0043204]	2205
2206	cytoplasm [GO:0005737]; dendritic microtubule [GO:1901588]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; growth cone [GO:0030426]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793]	2206
2207	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]	2207
2208	cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; WASH complex [GO:0071203]	2208
2209	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]	2209
2210	cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]	2210
2211	Golgi membrane [GO:0000139]; lysosomal membrane [GO:0005765]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	2211
2212	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	2212
2213	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; lipopolysaccharide receptor complex [GO:0046696]	2213
2214	azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular vesicle [GO:1903561]; microtubule [GO:0005874]; nucleus [GO:0005634]	2214
2215	cation channel complex [GO:0034703]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]	2215
2216	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]	2216
2217	anchored component of membrane [GO:0031225]; cell projection [GO:0042995]; cell surface [GO:0009986]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]	2217
2218	centrosome [GO:0005813]; cytosol [GO:0005829]; midbody [GO:0030496]; nucleus [GO:0005634]	2218
2219	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]	2219
2220	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; ubiquitin ligase complex [GO:0000151]	2220
2221	Cajal body [GO:0015030]; catalytic step 2 spliceosome [GO:0071013]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U2AF complex [GO:0089701]	2221
2222	apical plasma membrane [GO:0016324]; basement membrane [GO:0005604]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; periciliary membrane compartment [GO:1990075]; photoreceptor connecting cilium [GO:0032391]; photoreceptor inner segment [GO:0001917]; stereocilia ankle link [GO:0002141]; stereocilia ankle link complex [GO:0002142]; stereocilium bundle [GO:0032421]; stereocilium membrane [GO:0060171]; USH2 complex [GO:1990696]	2222
2223	clathrin-coated endocytic vesicle membrane [GO:0030669]; clathrin-coated vesicle [GO:0030136]; clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane [GO:0061202]; clathrin-sculpted glutamate transport vesicle membrane [GO:0060203]; clathrin-sculpted monoamine transport vesicle membrane [GO:0070083]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; integral component of plasma membrane [GO:0005887]; integral component of synaptic vesicle membrane [GO:0030285]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; neuron projection [GO:0043005]; neuron projection terminus [GO:0044306]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; secretory granule [GO:0030141]; secretory granule membrane [GO:0030667]; SNARE complex [GO:0031201]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]; synaptobrevin 2-SNAP-25-syntaxin-1a complex [GO:0070044]; synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex [GO:0070032]; synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex [GO:0070033]; trans-Golgi network [GO:0005802]; vesicle [GO:0031982]; voltage-gated potassium channel complex [GO:0008076]; zymogen granule membrane [GO:0042589]	2223
2224	centriole [GO:0005814]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; periciliary membrane compartment [GO:1990075]; plasma membrane [GO:0005886]	2224
2225	centrosome [GO:0005813]; clathrin-sculpted monoamine transport vesicle membrane [GO:0070083]; dopaminergic synapse [GO:0098691]; integral component of plasma membrane [GO:0005887]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; plasma membrane [GO:0005886]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]; terminal bouton [GO:0043195]	2225
2226	cleavage furrow [GO:0032154]; cytosol [GO:0005829]; spindle pole [GO:0000922]	2226
2227	nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]	2227
2228	cytoplasm [GO:0005737]; DNA-dependent protein kinase complex [GO:0070418]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]	2228
2229	blood microparticle [GO:0072562]; nucleus [GO:0005634]	2229
2230	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]	2230
2231	integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; synapse [GO:0045202]	2231
2232	heterochromatin [GO:0000792]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	2232
2233	nucleoplasm [GO:0005654]; U12-type spliceosomal complex [GO:0005689]	2233
2234	dynein axonemal particle [GO:0120293]; nuclear pre-replicative complex [GO:0005656]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; Rix1 complex [GO:0097344]	2234
2235	CORVET complex [GO:0033263]; early endosome [GO:0005769]	2235
2236	autophagosome [GO:0005776]; centriole [GO:0005814]; cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; WASH complex [GO:0071203]	2236
2237	Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]	2237
2238	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]	2238
2239	extracellular exosome [GO:0070062]; nucleus [GO:0005634]	2239
2240	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	2240
2241	extracellular space [GO:0005615]; nucleus [GO:0005634]	2241
2242	adherens junction [GO:0005912]; bicellular tight junction [GO:0005923]; cell-cell contact zone [GO:0044291]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	2242
2243	acrosomal vesicle [GO:0001669]; cell body [GO:0044297]; extracellular region [GO:0005576]; nucleus [GO:0005634]; zona pellucida receptor complex [GO:0002199]	2243
2244	cytoplasmic vesicle [GO:0031410]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; secretory granule [GO:0030141]; secretory granule membrane [GO:0030667]; transport vesicle membrane [GO:0030658]	2244
2245	cytoplasm [GO:0005737]; nuclear replication fork [GO:0043596]; nucleoplasm [GO:0005654]	2245
2246	aggresome [GO:0016235]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	2246
2247	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]	2247
2248	cytosol [GO:0005829]; early endosome [GO:0005769]; nucleus [GO:0005634]	2248
2249	cytoplasm [GO:0005737]; kinetochore [GO:0000776]; microtubule [GO:0005874]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle matrix [GO:1990047]	2249
2250	cytoplasm [GO:0005737]; nucleus [GO:0005634]; postsynaptic membrane [GO:0045211]; protein-containing complex [GO:0032991]	2250
2251	catalytic step 2 spliceosome [GO:0071013]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; TRAMP complex [GO:0031499]	2251
2252	Cajal body [GO:0015030]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	2252
2253	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi stack [GO:0005795]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]	2253
2254	centriolar satellite [GO:0034451]; centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; nucleus [GO:0005634]; spindle pole [GO:0000922]	2254
2255	transcription factor TFIID complex [GO:0005669]	2255
2256	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	2256
2257	nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	2257
2258	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]	2258
2259	cytoplasm [GO:0005737]; dendrite [GO:0030425]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	2259
2260	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]	2260
2261	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	2261
2262	nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U12-type spliceosomal complex [GO:0005689]; U2AF complex [GO:0089701]	2262
2263	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extrinsic component of synaptic vesicle membrane [GO:0098850]; lateral plasma membrane [GO:0016328]; microvillus [GO:0005902]; vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]	2263
2264	extracellular exosome [GO:0070062]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrial membrane [GO:0031966]; mitochondrial nucleoid [GO:0042645]; mitochondrial outer membrane [GO:0005741]; mitochondrial permeability transition pore complex [GO:0005757]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; pore complex [GO:0046930]; synaptic vesicle [GO:0008021]	2264
2265	cytosol [GO:0005829]; integral component of synaptic vesicle membrane [GO:0030285]; melanosome [GO:0042470]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]	2265
2266	clathrin-sculpted monoamine transport vesicle membrane [GO:0070083]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; synaptic vesicle membrane [GO:0030672]; terminal bouton [GO:0043195]	2266
2267	cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]; microtubule [GO:0005874]	2267
2268	AMPA glutamate receptor complex [GO:0032281]; extracellular space [GO:0005615]; synapse [GO:0045202]	2268
2269	autophagosome [GO:0005776]; axon [GO:0030424]; clathrin-coated vesicle [GO:0030136]; early endosome [GO:0005769]; endosome [GO:0005768]; HOPS complex [GO:0030897]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; neuronal cell body [GO:0043025]; recycling endosome [GO:0055037]	2269
2270	adherens junction [GO:0005912]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytosol [GO:0005829]	2270
2271	cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; mitochondrion-derived vesicle [GO:0099073]; retromer, cargo-selective complex [GO:0030906]; retromer complex [GO:0030904]; tubular endosome [GO:0097422]	2271
2272	apical part of cell [GO:0045177]; astrocyte projection [GO:0097449]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; cytoskeleton [GO:0005856]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; rough endoplasmic reticulum [GO:0005791]	2272
2273	autophagosome membrane [GO:0000421]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; extrinsic component of endosome membrane [GO:0031313]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; mitochondrion [GO:0005739]	2273
2274	cytoplasm [GO:0005737]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]	2274
2275	centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]	2275
2276	chromosome, centromeric region [GO:0000775]; midbody [GO:0030496]; nucleolus [GO:0005730]; nucleus [GO:0005634]	2276
2277	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]	2277
2278	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitotic spindle [GO:0072686]; NF-kappaB complex [GO:0071159]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysome [GO:0005844]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; ruffle membrane [GO:0032587]	2278
2279	COPII vesicle coat [GO:0030127]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; extracellular exosome [GO:0070062]; GATOR2 complex [GO:0061700]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; nuclear envelope [GO:0005635]; nuclear pore outer ring [GO:0031080]; nucleoplasm [GO:0005654]	2279
2280	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	2280
2281	cytosol [GO:0005829]; GATOR2 complex [GO:0061700]; kinetochore [GO:0000776]; lysosomal membrane [GO:0005765]; nuclear envelope [GO:0005635]; nuclear pore outer ring [GO:0031080]; Seh1-associated complex [GO:0035859]	2281
2282	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; motile cilium [GO:0031514]	2282
2283	cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; endosome [GO:0005768]; nucleus [GO:0005634]; retromer, tubulation complex [GO:0030905]; retromer complex [GO:0030904]; tubular endosome [GO:0097422]	2283
2284	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; snRNA-activating protein complex [GO:0019185]	2284
2285	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	2285
2286	histone deacetylase complex [GO:0000118]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	2286
2287	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule membrane [GO:0101003]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; serine protease inhibitor complex [GO:0097180]; tertiary granule membrane [GO:0070821]	2287
2288	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]	2288
2289	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; podosome [GO:0002102]; postsynaptic density, intracellular component [GO:0099092]; presynapse [GO:0098793]; Schaffer collateral - CA1 synapse [GO:0098685]	2289
2290	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]	2290
2291	cytoplasm [GO:0005737]; cytosol [GO:0005829]; immunological synapse [GO:0001772]; phosphatidylinositol 3-kinase complex [GO:0005942]	2291
2292	basement membrane [GO:0005604]; cell periphery [GO:0071944]; extracellular space [GO:0005615]	2292
2293	filamentous actin [GO:0031941]; I band [GO:0031674]; M band [GO:0031430]; microtubule organizing center [GO:0005815]	2293
2294	acrosomal vesicle [GO:0001669]; axon cytoplasm [GO:1904115]; BLOC-1 complex [GO:0031083]; BORC complex [GO:0099078]; Golgi membrane [GO:0000139]; lysosomal membrane [GO:0005765]; manchette [GO:0002177]; perinuclear region of cytoplasm [GO:0048471]; secretory granule [GO:0030141]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]	2294
2295	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]	2295
2296	cytosol [GO:0005829]; early endosome [GO:0005769]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; recycling endosome [GO:0055037]	2296
2297	cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; perinuclear region of cytoplasm [GO:0048471]	2297
2298	cytosol [GO:0005829]; endomembrane system [GO:0012505]; endoplasmic reticulum-endosome membrane contact site [GO:0140284]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; rough endoplasmic reticulum [GO:0005791]	2298
2299	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein phosphatase type 1 complex [GO:0000164]	2299
2300	chromosome [GO:0005694]; fibrillar center [GO:0001650]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; perikaryon [GO:0043204]; protein-DNA complex [GO:0032993]	2300
2301	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]	2301
2302	endomembrane system [GO:0012505]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; presynaptic active zone membrane [GO:0048787]; SNARE complex [GO:0031201]; synaptic vesicle [GO:0008021]	2302
2303	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]	2303
2304	cilium [GO:0005929]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	2304
2305	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi stack [GO:0005795]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]	2305
2306	chromosome, telomeric region [GO:0000781]; CST complex [GO:1990879]; fibrillar center [GO:0001650]; intermediate filament cytoskeleton [GO:0045111]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	2306
2307	fibrillar center [GO:0001650]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	2307
2308	clathrin-coated vesicle [GO:0030136]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; neuron projection [GO:0043005]; nucleolus [GO:0005730]; synaptic vesicle [GO:0008021]	2308
2309	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]	2309
2310	cytosol [GO:0005829]; lipid droplet [GO:0005811]; mitochondrial membrane [GO:0031966]	2310
2311	sarcomere [GO:0030017]	2311
2312	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	2312
2313	centriole [GO:0005814]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	2313
2314	focal adhesion [GO:0005925]	2314
2315	extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]	2315
2316	axonemal central apparatus [GO:1990716]; axoneme [GO:0005930]; extracellular region [GO:0005576]; sperm flagellum [GO:0036126]	2316
2317	endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; signal recognition particle receptor complex [GO:0005785]	2317
2318	brush border [GO:0005903]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]	2318
2319	extracellular exosome [GO:0070062]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]	2319
2320	cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]	2320
2321	endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle membrane [GO:0030660]; integral component of cytoplasmic side of endoplasmic reticulum membrane [GO:0071458]; integral component of lumenal side of endoplasmic reticulum membrane [GO:0071556]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; plasma membrane [GO:0005886]; rough endoplasmic reticulum [GO:0005791]	2321
2322	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; manchette [GO:0002177]; sperm flagellum [GO:0036126]; sperm midpiece [GO:0097225]	2322
2323	endomembrane system [GO:0012505]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	2323
2324	autophagosome [GO:0005776]; cytosol [GO:0005829]; recycling endosome [GO:0055037]	2324
2325	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]	2325
2326	chromatin [GO:0000785]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; nucleoplasm [GO:0005654]	2326
2327	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]	2327
2328	cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; phagophore assembly site [GO:0000407]; TRAPP complex [GO:0030008]; TRAPPIII protein complex [GO:1990072]	2328
2329	cytoplasmic vesicle [GO:0031410]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	2329
2330	cytoplasmic vesicle [GO:0031410]; intracellular membrane-bounded organelle [GO:0043231]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; ubiquitin ligase complex [GO:0000151]	2330
2331	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; Golgi stack [GO:0005795]; lysosome [GO:0005764]; membrane [GO:0016020]	2331
2332	external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]; T cell receptor complex [GO:0042101]	2332
2333	basement membrane [GO:0005604]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; platelet alpha granule lumen [GO:0031093]	2333
2334	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; platelet dense granule lumen [GO:0031089]	2334
2335	ASTRA complex [GO:0070209]; centrosome [GO:0005813]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]	2335
2336	basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; platelet alpha granule [GO:0031091]	2336
2337	integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]	2337
2338	azurophil granule lumen [GO:0035578]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; lysosomal lumen [GO:0043202]	2338
2339	integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; UDP-N-acetylglucosamine transferase complex [GO:0043541]	2339
2340	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum quality control compartment [GO:0044322]; extracellular exosome [GO:0070062]; protein-containing complex [GO:0032991]	2340
2341	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; PeBoW complex [GO:0070545]; preribosome, large subunit precursor [GO:0030687]	2341
2342	cytoplasmic ribonucleoprotein granule [GO:0036464]; nucleus [GO:0005634]	2342
2343	endoplasmic reticulum [GO:0005783]; Golgi-associated vesicle membrane [GO:0030660]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]	2343
2344	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]	2344
2345	actin cytoskeleton [GO:0015629]; axon [GO:0030424]; axonal growth cone [GO:0044295]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; integral component of membrane [GO:0016021]; neuron projection [GO:0043005]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; receptor complex [GO:0043235]	2345
2346	cytoplasmic ribonucleoprotein granule [GO:0036464]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; STAGA complex [GO:0030914]; transcription factor TFTC complex [GO:0033276]	2346
2347	cell junction [GO:0030054]; nucleoplasm [GO:0005654]; transcription factor TFIIA complex [GO:0005672]; transcription factor TFIID complex [GO:0005669]	2347
