	ID_Geneontology_molecularfunction__	Gene ontology (molecular function)
1516	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]	1516
1517	DNA binding [GO:0003677]; ubiquitin-protein transferase activity [GO:0004842]	1517
1518	cadherin binding [GO:0045296]; protein tyrosine phosphatase activity [GO:0004725]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]	1518
1519	glycogen phosphorylase activity [GO:0008184]; linear malto-oligosaccharide phosphorylase activity [GO:0102250]; nucleotide binding [GO:0000166]; pyridoxal phosphate binding [GO:0030170]; SHG alpha-glucan phosphorylase activity [GO:0102499]	1519
1520	metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; queuine tRNA-ribosyltransferase activity [GO:0008479]	1520
1521	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP-dependent protein binding [GO:0030742]; small GTPase binding [GO:0031267]	1521
1522	GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]	1522
1523	adenosine deaminase activity [GO:0004000]; double-stranded RNA adenosine deaminase activity [GO:0003726]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; tRNA-specific adenosine deaminase activity [GO:0008251]	1523
1524	endopeptidase activity [GO:0004175]; serine-type endopeptidase activity [GO:0004252]	1524
1525	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; protein kinase binding [GO:0019901]; small GTPase binding [GO:0031267]	1525
1526	ammonium transmembrane transporter activity [GO:0008519]; ankyrin binding [GO:0030506]; identical protein binding [GO:0042802]	1526
1527	GDP binding [GO:0019003]; G protein activity [GO:0003925]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; myosin binding [GO:0017022]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; Rho GDP-dissociation inhibitor binding [GO:0051022]	1527
1528	androgen receptor binding [GO:0050681]; metal ion binding [GO:0046872]; transcription coactivator activity [GO:0003713]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin-like protein transferase activity [GO:0019787]; ubiquitin protein ligase activity [GO:0061630]	1528
1529	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; guanyl-nucleotide exchange factor activity [GO:0005085]; protein kinase binding [GO:0019901]	1529
1530	2-iminobutanoate deaminase activity [GO:0120242]; 2-iminopropanoate deaminase activity [GO:0120243]; deaminase activity [GO:0019239]; endoribonuclease activity, producing 3'-phosphomonoesters [GO:0016892]; identical protein binding [GO:0042802]; long-chain fatty acid binding [GO:0036041]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; transition metal ion binding [GO:0046914]	1530
1531	calcium-dependent phospholipid binding [GO:0005544]; calcium ion binding [GO:0005509]; inositol 1,4,5 trisphosphate binding [GO:0070679]; phosphate ion binding [GO:0042301]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; phosphatidylinositol phosphate binding [GO:1901981]; protein-containing complex binding [GO:0044877]; selenium binding [GO:0008430]; small GTPase binding [GO:0031267]; zinc ion binding [GO:0008270]	1531
1532	mRNA 3'-UTR binding [GO:0003730]; RNA binding [GO:0003723]	1532
1533	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	1533
1534	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; riboflavin kinase activity [GO:0008531]	1534
1535	frizzled binding [GO:0005109]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]	1535
1536	calmodulin binding [GO:0005516]; guanyl-nucleotide exchange factor activity [GO:0005085]	1536
1537	DNA binding [GO:0003677]; identical protein binding [GO:0042802]; nuclear receptor coactivator activity [GO:0030374]; nucleosome binding [GO:0031491]; SUMO polymer binding [GO:0032184]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	1537
1538	identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	1538
1539	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; RNA polymerase I activity [GO:0001054]; zinc ion binding [GO:0008270]	1539
1540	androgen receptor binding [GO:0050681]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]	1540
1541	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; double-stranded DNA binding [GO:0003690]	1541
1542	chromatin binding [GO:0003682]; histone binding [GO:0042393]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	1542
1543	chromatin binding [GO:0003682]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	1543
1544	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; ribonucleoside binding [GO:0032549]	1544
1545	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; RNA binding [GO:0003723]	1545
1546	G-protein alpha-subunit binding [GO:0001965]	1546
1547	protein-containing complex binding [GO:0044877]; retinal binding [GO:0016918]; retinol binding [GO:0019841]; retinol transmembrane transporter activity [GO:0034632]	1547
1548	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription cis-regulatory region binding [GO:0000976]	1548
1549	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	1549
1550	identical protein binding [GO:0042802]; thioesterase binding [GO:0031996]; tumor necrosis factor receptor binding [GO:0005164]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	1550
1551	histone deacetylase binding [GO:0042826]; identical protein binding [GO:0042802]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; protein kinase B binding [GO:0043422]; protein kinase binding [GO:0019901]; protein N-terminus binding [GO:0047485]; thioesterase binding [GO:0031996]; tumor necrosis factor receptor binding [GO:0005164]; tumor necrosis factor receptor superfamily binding [GO:0032813]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	1551
1552	enzyme binding [GO:0019899]; GABA receptor binding [GO:0050811]; kinesin binding [GO:0019894]; myosin binding [GO:0017022]; signaling receptor binding [GO:0005102]; TPR domain binding [GO:0030911]	1552
1553	cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; signaling receptor binding [GO:0005102]; TRAIL binding [GO:0045569]; tumor necrosis factor receptor binding [GO:0005164]; zinc ion binding [GO:0008270]	1553
1554	protein-macromolecule adaptor activity [GO:0030674]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	1554
1555	metal ion binding [GO:0046872]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; RNA binding [GO:0003723]	1555
1556	DNA binding [GO:0003677]; interleukin-1 binding [GO:0019966]; NACHT domain binding [GO:0032089]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]	1556
1557	cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; protease binding [GO:0002020]; transcription cis-regulatory region binding [GO:0000976]; tumor necrosis factor receptor binding [GO:0005164]	1557
1558	ATP binding [GO:0005524]; calcium channel activity [GO:0005262]; calcium-release channel activity [GO:0015278]; calmodulin binding [GO:0005516]; chloride channel regulator activity [GO:0017081]; excitatory extracellular ligand-gated ion channel activity [GO:0005231]; extracellular ligand-gated ion channel activity [GO:0005230]; identical protein binding [GO:0042802]; ion channel activity [GO:0005216]; metal ion binding [GO:0046872]; phosphatidylinositol binding [GO:0035091]; phosphoprotein binding [GO:0051219]; temperature-gated ion channel activity [GO:0097603]; transmembrane signaling receptor activity [GO:0004888]; voltage-gated calcium channel activity [GO:0005245]	1558
1559	structural constituent of tooth enamel [GO:0030345]	1559
1560	calcium channel regulator activity [GO:0005246]	1560
1561	enzyme binding [GO:0019899]; nuclear receptor coactivator activity [GO:0030374]; thiol-dependent deubiquitinase [GO:0004843]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]	1561
1562	deoxyuridine phosphorylase activity [GO:0047847]; identical protein binding [GO:0042802]; uridine phosphorylase activity [GO:0004850]	1562
1563	netrin receptor activity [GO:0005042]	1563
1564	corticotropin-releasing hormone receptor 1 binding [GO:0051430]; corticotropin-releasing hormone receptor 2 binding [GO:0051431]; histone deacetylase inhibitor activity [GO:0046811]; neuropeptide hormone activity [GO:0005184]	1564
1565	identical protein binding [GO:0042802]; K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]; polyubiquitin modification-dependent protein binding [GO:0031593]	1565
1566	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; protein domain specific binding [GO:0019904]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]	1566
1567	miRNA binding [GO:0035198]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; RNA uridylyltransferase activity [GO:0050265]; zinc ion binding [GO:0008270]	1567
1568	metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	1568
1569	DNA binding [GO:0003677]; histone binding [GO:0042393]	1569
1570	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]	1570
1571	RNA binding [GO:0003723]; rRNA primary transcript binding [GO:0042134]	1571
1572	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; RNA polymerase I activity [GO:0001054]; RNA polymerase III activity [GO:0001056]	1572
1573	chromatin binding [GO:0003682]; phosphatase inhibitor activity [GO:0019212]; phosphoprotein binding [GO:0051219]; protein phosphatase inhibitor activity [GO:0004864]; RNA polymerase II complex binding [GO:0000993]; transcription corepressor activity [GO:0003714]	1573
1574	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; LRR domain binding [GO:0030275]; protein dimerization activity [GO:0046983]; RNA polymerase II activity [GO:0001055]	1574
1575	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	1575
1576	growth hormone-releasing hormone receptor activity [GO:0016520]	1576
1577	ATPase binding [GO:0051117]	1577
1578	identical protein binding [GO:0042802]; RNA polymerase II general transcription initiation factor activity [GO:0016251]	1578
1579	guanyl-nucleotide exchange factor activity [GO:0005085]; thromboxane A2 receptor activity [GO:0004961]	1579
1580	proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; ubiquitin protein ligase binding [GO:0031625]	1580
1581	ATPase [GO:0016887]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]	1581
1582	RNA adenylyltransferase activity [GO:1990817]	1582
1583	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	1583
1584	oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]	1584
1585	calcium ion transmembrane transporter activity [GO:0015085]; manganese ion transmembrane transporter activity [GO:0005384]; metal ion transmembrane transporter activity [GO:0046873]	1585
1586	alpha-tubulin binding [GO:0043014]; chaperone binding [GO:0051087]	1586
1587	identical protein binding [GO:0042802]; phosphatidylserine binding [GO:0001786]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	1587
1588	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]	1588
1589	G protein-coupled peptide receptor activity [GO:0008528]; protein-containing complex binding [GO:0044877]; signaling receptor activity [GO:0038023]; thyroid-stimulating hormone receptor activity [GO:0004996]	1589
1590	cadherin binding [GO:0045296]; Hsp90 protein binding [GO:0051879]	1590
1591	enzyme binding [GO:0019899]; ubiquitin-protein transferase activity [GO:0004842]	1591
1592	ATP binding [GO:0005524]; myosin heavy chain binding [GO:0032036]; phosphatidylinositol 3-kinase binding [GO:0043548]; phosphatidylserine binding [GO:0001786]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; virus receptor activity [GO:0001618]	1592
1593	protein-disulfide reductase (glutathione) activity [GO:0019153]; protein-disulfide reductase activity [GO:0015035]	1593
1594	DNA-binding transcription factor binding [GO:0140297]; syntaxin binding [GO:0019905]; transcription factor binding [GO:0008134]	1594
1595	calmodulin binding [GO:0005516]; cysteine-type endopeptidase activity [GO:0004197]; GTPase activator activity [GO:0005096]; nucleic acid binding [GO:0003676]; thiol-dependent deubiquitinase [GO:0004843]	1595
1596	SH3 domain binding [GO:0017124]; SNARE binding [GO:0000149]	1596
1597	ATPase, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; DNA binding [GO:0003677]	1597
1598	ATPase, acting on DNA [GO:0008094]; ATP binding [GO:0005524]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA end binding [GO:0045027]; DNA helicase activity [GO:0003678]; double-stranded DNA binding [GO:0003690]; enzyme activator activity [GO:0008047]; hydrolase activity [GO:0016787]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; RNA binding [GO:0003723]; telomeric DNA binding [GO:0042162]; transcription cis-regulatory region binding [GO:0000976]; U3 snoRNA binding [GO:0034511]; ubiquitin protein ligase binding [GO:0031625]	1598
1599	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; E-box binding [GO:0070888]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	1599
1600	protein C-terminus binding [GO:0008022]	1600
1601	aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]	1601
1602	actin filament binding [GO:0051015]; alpha-actinin binding [GO:0051393]	1602
1603	chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; double-stranded methylated DNA binding [GO:0010385]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	1603
1604	metal ion binding [GO:0046872]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; RNA polymerase core enzyme binding [GO:0043175]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]	1604
1605	GTP-dependent protein binding [GO:0030742]; guanyl-nucleotide exchange factor activity [GO:0005085]	1605
1606	lyase activity [GO:0016829]; nucleic acid binding [GO:0003676]; ribonuclease A activity [GO:0004522]; ribonuclease activity [GO:0004540]	1606
1607	L-serine ammonia-lyase activity [GO:0003941]; L-threonine ammonia-lyase activity [GO:0004794]; protein homodimerization activity [GO:0042803]; pyridoxal phosphate binding [GO:0030170]	1607
1608	ATP binding [GO:0005524]; coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway [GO:1904929]; frizzled binding [GO:0005109]; metal ion binding [GO:0046872]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; Wnt-protein binding [GO:0017147]	1608
1609	RNA binding [GO:0003723]; signaling receptor activity [GO:0038023]	1609
1610	fibroblast growth factor binding [GO:0017134]; identical protein binding [GO:0042802]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	1610
1611	beta-catenin binding [GO:0008013]; bHLH transcription factor binding [GO:0043425]; chromatin binding [GO:0003682]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; pre-mRNA intronic binding [GO:0097157]; protein kinase A catalytic subunit binding [GO:0034236]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]	1611
1612	ionotropic glutamate receptor binding [GO:0035255]; SH3 domain binding [GO:0017124]; synaptic receptor adaptor activity [GO:0030160]	1612
1613	bHLH transcription factor binding [GO:0043425]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; double-stranded DNA binding [GO:0003690]; histone acetyltransferase binding [GO:0035035]; histone deacetylase binding [GO:0042826]; HMG box domain binding [GO:0071837]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein C-terminus binding [GO:0008022]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]; transcription coregulator binding [GO:0001221]; transcription factor binding [GO:0008134]	1613
1614	protein kinase binding [GO:0019901]; receptor tyrosine kinase binding [GO:0030971]	1614
1615	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; mediator complex binding [GO:0036033]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]	1615
1616	7S RNA binding [GO:0008312]; RNA binding [GO:0003723]; signal recognition particle binding [GO:0005047]; TPR domain binding [GO:0030911]	1616
1617	protein kinase binding [GO:0019901]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase inhibitor activity [GO:0030291]	1617
1618	ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone acetyltransferase activity [GO:0004402]; histone binding [GO:0042393]; hydrolase activity [GO:0016787]; nucleosome-dependent ATPase activity [GO:0070615]; transcription coactivator activity [GO:0003713]	1618
1619	cupric reductase activity [GO:0008823]; ferric-chelate reductase (NADPH) activity [GO:0052851]; metal ion binding [GO:0046872]	1619
1620	protein kinase binding [GO:0019901]; protein serine/threonine kinase inhibitor activity [GO:0030291]; stem cell factor receptor binding [GO:0005173]	1620
1621	7S RNA binding [GO:0008312]; endoplasmic reticulum signal peptide binding [GO:0030942]; RNA binding [GO:0003723]	1621
1622	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	1622
1623	14-3-3 protein binding [GO:0071889]; actin binding [GO:0003779]; alpha-actinin binding [GO:0051393]; filamin binding [GO:0031005]; muscle alpha-actinin binding [GO:0051371]; protein-macromolecule adaptor activity [GO:0030674]	1623
1624	DNA binding [GO:0003677]; protein C-terminus binding [GO:0008022]; protein heterodimerization activity [GO:0046982]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; TBP-class protein binding [GO:0017025]	1624
1625	metal ion binding [GO:0046872]; protein transporter activity [GO:0140318]; unfolded protein binding [GO:0051082]	1625
1626	extracellular matrix binding [GO:0050840]	1626
1627	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]	1627
1628	cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; identical protein binding [GO:0042802]; protein-containing complex binding [GO:0044877]; transforming growth factor beta binding [GO:0050431]; type III transforming growth factor beta receptor binding [GO:0034714]; type II transforming growth factor beta receptor binding [GO:0005114]; type I transforming growth factor beta receptor binding [GO:0034713]	1628
1629	G-rich strand telomeric DNA binding [GO:0098505]; phosphatase binding [GO:0019902]; telomeric DNA binding [GO:0042162]	1629
1630	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; nucleic acid binding [GO:0003676]; phosphoprotein binding [GO:0051219]; protein kinase activity [GO:0004672]; protein phosphatase binding [GO:0019903]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	1630
1631	kinase binding [GO:0019900]; metal ion binding [GO:0046872]	1631
1632	ATP binding [GO:0005524]; GTPase activator activity [GO:0005096]; protein kinase activity [GO:0004672]	1632
1633	identical protein binding [GO:0042802]; RNA binding [GO:0003723]; RNA polymerase binding [GO:0070063]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]; transcription elongation regulator activity [GO:0003711]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]	1633
1634	aryl hydrocarbon receptor binding [GO:0017162]; core promoter sequence-specific DNA binding [GO:0001046]; DNA-binding transcription factor binding [GO:0140297]; enzyme binding [GO:0019899]; general transcription initiation factor activity [GO:0140223]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; RNA polymerase II general transcription initiation factor activity [GO:0016251]; RNA polymerase II general transcription initiation factor binding [GO:0001091]; RNA polymerase III general transcription initiation factor activity [GO:0000995]; TFIIB-class transcription factor binding [GO:0001093]; transcription cis-regulatory region binding [GO:0000976]; transcription factor binding [GO:0008134]	1634
1635	thrombopoietin receptor activity [GO:0038164]	1635
1636	chromatin binding [GO:0003682]; protein homodimerization activity [GO:0042803]; transcription coactivator activity [GO:0003713]; tumor necrosis factor receptor binding [GO:0005164]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	1636
1637	ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]	1637
1638	aminopeptidase activity [GO:0004177]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; serine-type endopeptidase activity [GO:0004252]; tripeptidyl-peptidase activity [GO:0008240]	1638
1639	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; thiamine binding [GO:0030975]; thiamine diphosphokinase activity [GO:0004788]	1639
1640	protein tyrosine phosphatase activity [GO:0004725]	1640
1641	cysteine-type endopeptidase activity [GO:0004197]; nucleotide binding [GO:0000166]	1641
1642	actin binding [GO:0003779]; actinin binding [GO:0042805]; ATPase binding [GO:0051117]; calcium channel activity [GO:0005262]; clathrin binding [GO:0030276]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]	1642
1643	G protein-coupled receptor activity [GO:0004930]; taste receptor activity [GO:0008527]	1643
1644	intracellular calcium activated chloride channel activity [GO:0005229]; volume-sensitive chloride channel activity [GO:0072320]	1644
1645	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein-containing complex binding [GO:0044877]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	1645
1646	DNA binding [GO:0003677]; histone binding [GO:0042393]; K63-linked polyubiquitin modification-dependent protein binding [GO:0070530]; metal ion binding [GO:0046872]	1646
1647	COPII receptor activity [GO:0097020]	1647
1648	calcitriol binding [GO:1902098]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; lithocholic acid binding [GO:1902121]; lithocholic acid receptor activity [GO:0038186]; nuclear receptor activity [GO:0004879]; retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	1648
1649	3'-5'-exoribonuclease activity [GO:0000175]; 5'-3' exonuclease activity [GO:0008409]; 5'-3' exoribonuclease activity [GO:0004534]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; nuclease activity [GO:0004518]; RNA binding [GO:0003723]; transcription termination site sequence-specific DNA binding [GO:0001147]	1649
1650	kinase binding [GO:0019900]; molecular adaptor activity [GO:0060090]	1650
1651	nuclear export signal receptor activity [GO:0005049]	1651
1652	proline-rich region binding [GO:0070064]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	1652
1653	5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]; ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]	1653
1654	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]	1654
1655	1-phosphatidylinositol binding [GO:0005545]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3-phosphate binding [GO:0032266]; zinc ion binding [GO:0008270]	1655
1656	palmitoyltransferase activity [GO:0016409]; protein-cysteine S-myristoyltransferase activity [GO:0019705]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; protein-cysteine S-stearoyltransferase activity [GO:0140439]; protein homodimerization activity [GO:0042803]	1656
1657	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; promoter-specific chromatin binding [GO:1990841]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	1657
1658	mRNA binding [GO:0003729]; N6-methyladenosine-containing RNA binding [GO:1990247]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]	1658
1659	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]	1659
1660	metalloendopeptidase activity [GO:0004222]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]	1660
