uniprot_entry	Gene name	Gene stable ID
O75486	SUPT3H	ENSG00000196284
A2RUT3	TMEM89	ENSG00000183396
Q8N2I9	STK40	ENSG00000196182
Q8N3U4	STAG2	ENSG00000101972
O95210	STBD1	ENSG00000118804
Q8WVM7	STAG1	ENSG00000118007
Q969W9	STAG1	ENSG00000118007
P51649	ALDH5A1	ENSG00000112294
Q9Y2K9	STXBP5L	ENSG00000145087
A6NGB0	TMEM191C	ENSG00000206140
Q15572	TAF1C	ENSG00000103168
Q9UGM6	WARS2	ENSG00000116874
P40227	CCT6A	ENSG00000146731
Q7Z5A7	TAFA5	ENSG00000219438
Q9NVA4	TMEM184C	ENSG00000164168
Q5BJH2	TMEM128	ENSG00000132406
Q5T7P8	SYT6	ENSG00000134207
P0DPH8	TUBA3D	ENSG00000075886
Q96M34	TEX55	ENSG00000163424
Q01085	TIAL1	ENSG00000151923
P10827	THRA	ENSG00000126351
Q71RH2	TLCD3B	ENSG00000149926
Q8IWB9	TEX2	ENSG00000136478
O43897	TLL1	ENSG00000038295
A0PJW6	TMEM223	ENSG00000168569
Q9H1E5	TMX4	ENSG00000125827
Q9C029	TRIM7	ENSG00000146054
Q9NRS4	TMPRSS4	ENSG00000137648
Q9NRS4	TMPRSS3	ENSG00000160183
P57727	TMPRSS3	ENSG00000160183
O00220	TNFRSF10A	ENSG00000104689
Q15633	TARBP2	ENSG00000139546
A0A075B6T6	TRAV12-2	ENSG00000211789
A0A075B6T7	TRAV6	ENSG00000211780
A0A0J9YXY3	TRBV6-2	ENSG00000282719
A0A0J9YXY3	TRBV6-2	ENSG00000283063
O75841	UPK1B	ENSG00000114638
Q86UP9	LHFPL3	ENSG00000187416
Q86UP9	LHFPL4	ENSG00000156959
Q7Z7J7	LHFPL4	ENSG00000156959
P01601	IGKV1D-16	ENSG00000241244
Q9H1Y3	OPN3	ENSG00000054277
P30953	OR1E1	ENSG00000180016
Q8NGR5	OR1L4	ENSG00000136939
Q8NE18	NSUN7	ENSG00000179299
Q8NGP2	OR8J1	ENSG00000262796
Q8NGP2	OR8J1	ENSG00000172487
Q8NGT5	OR9A2	ENSG00000273914
Q8NGT5	OR9A2	ENSG00000179468
Q8NH01	OR2T11	ENSG00000279301
Q9H207	OR10A5	ENSG00000166363
Q6IFN5	OR7E24	ENSG00000237521
Q93086	P2RX5	ENSG00000083454
Q8NGJ2	OR52H1	ENSG00000181616
A6NDL8	OR6C68	ENSG00000205327
Q8NGS6	OR13C3	ENSG00000204246
Q8NGI1	OR56B2P	ENSG00000181017
Q17RF5	ODAPH	ENSG00000174792
Q9BXB5	OSBPL10	ENSG00000144645
Q9BZF1	OSBPL8	ENSG00000091039
Q96R54	OR14A2	ENSG00000241128
Q9BQT8	SLC25A21	ENSG00000183032
A0A2R8Y4Y8	OOSP4B	ENSG00000285463
A0A2R8Y4Y8	OOSP4B	ENSG00000255393
Q9H158	PCDHAC1	ENSG00000248383
Q9Y2B2	PIGL	ENSG00000108474
Q92968	PEX13	ENSG00000162928
P43116	PTGER2	ENSG00000125384
P35408	PTGER2	ENSG00000125384
Q8NEN9	PDZD8	ENSG00000165650
Q8N8W4	PNPLA1	ENSG00000180316
P62333	PSMC6	ENSG00000100519
Q16378	PRR4	ENSG00000263247
Q16378	PRR4	ENSG00000282269
Q16378	PRR4	ENSG00000111215
Q96NY8	PRR4	ENSG00000263247
Q96NY8	PRR4	ENSG00000282269
Q96NY8	PRR4	ENSG00000111215
P23942	PRPH2	ENSG00000112619
P23942	PRPH	ENSG00000135406
P41219	PRPH	ENSG00000135406
O43395	PRPF3	ENSG00000117360
O75864	PPP1R37	ENSG00000104866
Q53SZ7	PRR30	ENSG00000186143
Q99952	PTPN18	ENSG00000072135
Q99952	BDP1	ENSG00000274803
Q99952	BDP1	ENSG00000273873
Q99952	BDP1	ENSG00000145734
A6H8Y1	BDP1	ENSG00000274803
A6H8Y1	BDP1	ENSG00000273873
A6H8Y1	BDP1	ENSG00000145734
Q09MP3	RAD51AP2	ENSG00000214842
P05451	REG1A	ENSG00000115386
P51151	RAB9A	ENSG00000123595
Q8WUD1	RAB2B	ENSG00000129472
Q9NTZ6	RBM12	ENSG00000244462
P49798	RGS4	ENSG00000117152
P18577	RHCE	ENSG00000188672
Q8HWS3	RFX6	ENSG00000185002
O94810	RGS11	ENSG00000076344
O14593	RFXANK	ENSG00000064490
Q9H9A7	RMI1	ENSG00000178966
P02814	SMR3B	ENSG00000171201
Q8IVW8	SPNS2	ENSG00000183018
Q9Y3P8	SIT1	ENSG00000137078
Q9NP91	SIT1	ENSG00000137078
Q8N0Z3	SPICE1	ENSG00000163611
Q96N06	SPATA33	ENSG00000167523
Q9NR45	NANS	ENSG00000095380
Q8TF72	SHROOM3	ENSG00000138771
Q9UHJ6	SHPK	ENSG00000197417
Q9NQ25	SLAMF7	ENSG00000026751
Q13425	SNTB2	ENSG00000260873
Q13425	SNTB2	ENSG00000168807
Q9UBY0	SLC9A2	ENSG00000115616
O60284	ST18	ENSG00000147488
Q9UEE5	STK17A	ENSG00000164543
Q9BVH7	ST6GALNAC5	ENSG00000117069
Q9Y365	STARD10	ENSG00000214530
P0CL83	STAG3L1	ENSG00000205583
P27105	STOM	ENSG00000148175
P31948	STIP1	ENSG00000168439
O75494	SRSF10	ENSG00000188529
Q5VZP5	STYXL2	ENSG00000198842
Q13428	TCOF1	ENSG00000070814
A2RTX5	TARS3	ENSG00000185418
Q8N9I0	SYT2	ENSG00000143858
Q8WUA7	TBC1D22A	ENSG00000054611
Q9NYV9	TAS2R13	ENSG00000273457
Q9NYV9	TAS2R13	ENSG00000277254
Q9NYV9	TAS2R13	ENSG00000212128
Q9C026	TRIM9	ENSG00000100505
Q9BVK6	TMED9	ENSG00000184840
Q9UBN6	TNFRSF10D	ENSG00000173530
Q8N4H5	TOMM5	ENSG00000175768
Q6ZUK4	TMEM26	ENSG00000196932
A0A0J9YY54	TEX13D	ENSG00000282419
Q5T9Z0	TEDDM1	ENSG00000203730
Q5TGY1	TMCO4	ENSG00000162542
P11388	TOP2A	ENSG00000131747
Q9P2J2	IGSF9	ENSG00000085552
Q6PID6	TTC33	ENSG00000113638
Q96AY4	TTC28	ENSG00000100154
O95859	TSPAN12	ENSG00000106025
Q96B01	RAD51AP1	ENSG00000111247
P0C7P2	RFPL3S	ENSG00000205853
O60673	REV3L	ENSG00000009413
Q52LD8	RFTN2	ENSG00000162944
Q9HB90	RRAGC	ENSG00000116954
Q9H1N7	SLC35B3	ENSG00000124786
Q5VVP1	SPATA31A6	ENSG00000185775
Q8IXU6	SLC35F2	ENSG00000110660
P48443	RXRG	ENSG00000143171
Q6YBV0	SLC36A4	ENSG00000180773
Q92777	SYN2	ENSG00000157152
O95197	RTN3	ENSG00000133318
Q6P087	RPUSD3	ENSG00000156990
O75995	SASH3	ENSG00000122122
P09234	SNRPC	ENSG00000124562
Q9NX18	SDHAF2	ENSG00000167985
Q9NUL5	SHFL	ENSG00000130813
P02743	APCS	ENSG00000132703
Q16585	SGCB	ENSG00000163069
Q8TBC3	SHKBP1	ENSG00000160410
Q9UPN6	SCAF8	ENSG00000213079
Q9NUQ6	SPATS2L	ENSG00000196141
Q6AI14	SLC9A4	ENSG00000180251
Q9NY99	SNTG2	ENSG00000281020
Q9NY99	SNTG2	ENSG00000281486
Q9NY99	SNTG2	ENSG00000172554
Q07617	SPAG1	ENSG00000104450
Q96KW9	SPACA7	ENSG00000275865
Q96KW9	SPACA7	ENSG00000153498
Q8WV41	SNX33	ENSG00000173548
Q99717	SMAD5	ENSG00000113658
P08047	SP1	ENSG00000185591
Q8N907	SP1	ENSG00000185591
Q9UNH7	SNX6	ENSG00000129515
Q15477	SKIV2L	ENSG00000223493
Q15477	SKIV2L	ENSG00000206353
Q15477	SKIV2L	ENSG00000232616
Q15477	SKIV2L	ENSG00000225737
Q15477	SKIV2L	ENSG00000228896
Q15477	SKIV2L	ENSG00000204351
O14512	SOCS7	ENSG00000274229
O14512	SOCS7	ENSG00000274211
Q8WXH5	SOCS7	ENSG00000274229
Q8WXH5	SOCS7	ENSG00000274211
O14512	SOCS6	ENSG00000170677
O14544	SOCS6	ENSG00000170677
P01242	GH2	ENSG00000136487
Q495Y8	SPDYE2	ENSG00000205238
Q14515	SPARCL1	ENSG00000152583
Q9Y651	SOX21	ENSG00000125285
Q8NFV5	SPDYE1	ENSG00000136206
Q5TFQ8	SIRPB1	ENSG00000101307
O00241	SIRPB1	ENSG00000101307
Q9Y657	SPIN1	ENSG00000106723
Q9H2V7	SPIN1	ENSG00000106723
Q9P0Z9	PIPOX	ENSG00000179761
Q9Y6H5	SNCAIP	ENSG00000064692
Q9BQI6	SLF1	ENSG00000133302
Q13796	SHROOM2	ENSG00000146950
Q9BUA3	SPINDOC	ENSG00000168005
Q8N801	STPG4	ENSG00000239605
Q9BX79	STRA6	ENSG00000288257
Q9BX79	STRA6	ENSG00000137868
Q9UBS9	SUCO	ENSG00000094975
O75886	STAM2	ENSG00000115145
Q9NUL3	STAU2	ENSG00000040341
A0A0J9YWL9	TEX13C	ENSG00000282815
Q9UPE1	SRPK3	ENSG00000184343
P0CV99	TSPY4	ENSG00000233803
Q16623	STX1A	ENSG00000106089
Q9Y5M8	SRPRB	ENSG00000144867
Q6ZVD7	STOX1	ENSG00000165730
Q6UWL2	SUSD1	ENSG00000106868
Q9UGT4	SUSD2	ENSG00000099994
Q96L08	SUSD3	ENSG00000157303
Q9GZT4	SRR	ENSG00000167720
Q8NFX7	STXBP6	ENSG00000168952
Q96PV0	SYNGAP1	ENSG00000227460
Q96PV0	SYNGAP1	ENSG00000197283
Q9UKP6	UTS2R	ENSG00000181408
Q9NUC0	SERTAD4	ENSG00000281230
Q9NUC0	SERTAD4	ENSG00000082497
Q13247	SRSF6	ENSG00000124193
Q14146	URB2	ENSG00000135763
Q7L3T8	PARS2	ENSG00000162396
Q9Y5K5	UCHL5	ENSG00000116750
P56192	MARS1	ENSG00000166986
A6NNZ2	TUBB8B	ENSG00000173213
P59538	TAS2R31	ENSG00000263097
P59538	TAS2R31	ENSG00000282256
P59538	TAS2R31	ENSG00000256436
Q71U36	TUBA1A	ENSG00000167552
P0C1Z6	TFPT	ENSG00000275086
P0C1Z6	TFPT	ENSG00000273833
P0C1Z6	TFPT	ENSG00000276323
P0C1Z6	TFPT	ENSG00000276022
P0C1Z6	TFPT	ENSG00000276263
P0C1Z6	TFPT	ENSG00000276504
P0C1Z6	TFPT	ENSG00000276296
P0C1Z6	TFPT	ENSG00000274073
P0C1Z6	TFPT	ENSG00000278161
P0C1Z6	TFPT	ENSG00000105619
Q96IK0	TMEM101	ENSG00000091947
Q9NPL8	TIMMDC1	ENSG00000113845
Q5SRD1	TIMM23B	ENSG00000204152
Q92664	GTF3A	ENSG00000122034
Q9Y6L7	TLL2	ENSG00000095587
O43294	TGFB1I1	ENSG00000140682
Q5W0B7	TMEM236	ENSG00000148483
Q9NS56	TOPORS	ENSG00000197579
Q92547	TOPBP1	ENSG00000163781
P67936	TPM4	ENSG00000167460
A6NI03	TRIM64B	ENSG00000189253
A6NLI5	TRIM64C	ENSG00000214891
Q9Y3C4	TPRKB	ENSG00000144034
Q6ZVM7	TOM1L2	ENSG00000175662
Q9NX01	TXNL4B	ENSG00000140830
Q3SXZ7	TTLL9	ENSG00000131044
Q5W5X9	TTC23	ENSG00000103852
P46782	RPS5	ENSG00000083845
Q6PIV7	SLC25A34	ENSG00000162461
P19793	RXRA	ENSG00000186350
Q9NSC2	SALL1	ENSG00000103449
Q495M3	SLC36A2	ENSG00000186335
Q8N808	SLC35G3	ENSG00000164729
Q15413	RYR3	ENSG00000198838
Q9BYL1	SAMD10	ENSG00000130590
P58743	SLC26A5	ENSG00000170615
Q8TDM5	SPACA4	ENSG00000177202
Q08AI6	SLC38A11	ENSG00000169507
Q9NTJ5	SACM1L	ENSG00000211456
Q504Y0	SLC39A12	ENSG00000148482
Q9Y2P4	SLC27A6	ENSG00000113396
Q96FQ6	S100A16	ENSG00000188643
Q8N8U3	RTL3	ENSG00000179300
Q5HYW3	RTL5	ENSG00000242732
Q6ICC9	RTL6	ENSG00000188636
A0AV02	SLC12A8	ENSG00000221955
Q9BY07	SLC4A5	ENSG00000188687
Q9Y2C5	SLC17A4	ENSG00000146039
Q96IZ7	RSRC1	ENSG00000174891
O95136	S1PR2	ENSG00000267534
O00631	SLN	ENSG00000170290
Q9BW04	C1orf116	ENSG00000182795
Q96N87	SLC6A18	ENSG00000164363
Q8IVG5	SAMD9L	ENSG00000177409
Q96CM3	RPUSD4	ENSG00000165526
Q8N2Y8	RUSC2	ENSG00000198853
Q14D33	RTP5	ENSG00000277949
Q14D33	RTP5	ENSG00000188011
Q12788	TBL3	ENSG00000183751
P08579	SNRPB2	ENSG00000125870
O00422	SAP18	ENSG00000150459
Q9BYW2	SETD2	ENSG00000181555
A0A286YF01	SCYGR7	ENSG00000284718
A0A286YEY9	SCYGR1	ENSG00000284629
A0A286YF60	SCYGR3	ENSG00000284704
Q9H7L9	SUDS3	ENSG00000111707
O15041	SEMA3E	ENSG00000170381
Q92854	SEMA4D	ENSG00000187764
Q9Y6D0	SELENOK	ENSG00000113811
A8K8P3	SFI1	ENSG00000198089
Q9BRG2	SH2D3A	ENSG00000125731
Q9BVL4	SELENOO	ENSG00000073169
P35499	SCN4A	ENSG00000007314
Q96HF1	SFRP2	ENSG00000145423
Q00403	GTF2B	ENSG00000137947
O94979	SEC31A	ENSG00000138674
P30531	SLC6A1	ENSG00000157103
Q15858	SCN9A	ENSG00000169432
P84550	SKOR1	ENSG00000188779
P48029	SLC6A8	ENSG00000130821
Q96BD8	SKA1	ENSG00000262634
Q96BD8	SKA1	ENSG00000154839
Q147U7	SMCO1	ENSG00000214097
Q5TF21	SOGA3	ENSG00000214338
Q92959	SLCO2A1	ENSG00000174640
P04179	SOD2	ENSG00000291237
Q02447	SP3	ENSG00000172845
Q9NX45	SOHLH2	ENSG00000120669
Q9UPU3	SORCS3	ENSG00000156395
Q9P0W8	SPATA7	ENSG00000042317
Q5MJ70	SPDYA	ENSG00000163806
P35713	SOX18	ENSG00000203883
Q7Z572	SPATA21	ENSG00000187144
Q13813	SPTAN1	ENSG00000197694
Q6PI26	SHQ1	ENSG00000144736
O60225	SSX5	ENSG00000165583
Q86WV6	STING1	ENSG00000288243
Q86WV6	STING1	ENSG00000184584
Q8N0S2	SYCE1	ENSG00000171772
P49589	CARS1	ENSG00000278191
P49589	CARS1	ENSG00000110619
M5A8F1	ERVH48-1	ENSG00000233056
P35610	SOAT1	ENSG00000057252
P35610	ACAT1	ENSG00000075239
P24752	ACAT1	ENSG00000075239
P42224	STAT1	ENSG00000115415
Q8NFT2	STEAP2	ENSG00000157214
Q08945	SSRP1	ENSG00000149136
Q8IYB3	SRRM1	ENSG00000133226
Q9BT76	UPK3B	ENSG00000276184
Q9BT76	UPK3B	ENSG00000243566
Q8WTU2	SSC4D	ENSG00000146700
Q13243	SRSF5	ENSG00000100650
Q496J9	SV2C	ENSG00000122012
Q12772	SREBF2	ENSG00000198911
Q5JPH6	EARS2	ENSG00000103356
Q96I59	NARS2	ENSG00000137513
P57738	TCTA	ENSG00000145022
Q9H5J8	TAF1D	ENSG00000166012
P50991	CCT4	ENSG00000115484
Q15170	TCEAL1	ENSG00000172465
Q9BUR4	WRAP53	ENSG00000141499
Q5T160	RARS2	ENSG00000146282
Q92519	TRIB2	ENSG00000071575
Q96RU7	TRIB3	ENSG00000101255
Q5EBN2	TRIM61	ENSG00000183439
Q12974	PTP4A2	ENSG00000184007
Q5JTV8	TOR1AIP1	ENSG00000143337
Q15631	TSN	ENSG00000211460
P02766	TTR	ENSG00000118271
Q9BZW7	TSGA10	ENSG00000135951
A0A578	TRBV5-1	ENSG00000282803
A0A578	TRBV5-1	ENSG00000211734
A0A0K0K1C0	TRBV11-1	ENSG00000282711
A0A0K0K1C0	TRBV11-1	ENSG00000211720
P30530	AXL	ENSG00000167601
Q9NPG3	UBN1	ENSG00000118900
Q9GZP7	VN1R1	ENSG00000178201
O60437	PPL	ENSG00000118898
Q96GW7	BCAN	ENSG00000132692
P16234	PDGFRA	ENSG00000134853
Q13393	PLD1	ENSG00000075651
Q9UPR0	PLCL2	ENSG00000284017
Q9UPR0	PLCL2	ENSG00000154822
P78527	PRKDC	ENSG00000253729
P25788	PSMA3	ENSG00000100567
P55786	NPEPPS	ENSG00000141279
O43900	PRICKLE3	ENSG00000012211
P86480	PRR20D	ENSG00000227151
Q92733	PRCC	ENSG00000143294
O94906	PRPF6	ENSG00000101161
P28065	PSMB9	ENSG00000239836
P28065	PSMB9	ENSG00000243958
P28065	PSMB9	ENSG00000242711
P28065	PSMB9	ENSG00000243594
P28065	PSMB9	ENSG00000240508
P28065	PSMB9	ENSG00000240118
P28065	PSMB9	ENSG00000243067
P28065	PSMB9	ENSG00000240065
Q9UI14	RABAC1	ENSG00000105404
Q9BVG9	PTDSS2	ENSG00000282367
Q9BVG9	PTDSS2	ENSG00000174915
Q9Y620	RAD54B	ENSG00000197275
Q96JH8	RADIL	ENSG00000157927
O75154	RAB11FIP3	ENSG00000275338
O75154	RAB11FIP3	ENSG00000090565
A6NKH3	RPL37AP8	ENSG00000176343
Q9NTX7	RNF146	ENSG00000118518
Q8WZ75	ROBO4	ENSG00000154133
Q9H1A7	POLR2J3	ENSG00000168255
Q9H1A7	POLR2J3	ENSG00000285437
Q5GAN6	RNASE10	ENSG00000182545
Q9NQL2	RRAGD	ENSG00000025039
P25398	RPS12	ENSG00000112306
Q71UM5	RPS27L	ENSG00000185088
Q8IX30	SCUBE3	ENSG00000146197
O00193	C11orf58	ENSG00000110696
Q96DI7	SNRNP40	ENSG00000060688
Q8TER0	SNED1	ENSG00000162804
O43290	SART1	ENSG00000175467
Q9NY87	SPANXC	ENSG00000198573
Q96BD6	SPSB1	ENSG00000171621
Q96R06	SPAG5	ENSG00000076382
Q9H173	SIL1	ENSG00000120725
Q86XZ4	SPATS2	ENSG00000123352
Q96RF0	SNX18	ENSG00000178996
P19634	SLC9A1	ENSG00000090020
Q9NYZ4	SIGLEC8	ENSG00000105366
O60749	SNX2	ENSG00000205302
Q7Z614	SNX20	ENSG00000167208
Q96ST3	SIN3A	ENSG00000169375
Q9H741	SPRING1	ENSG00000111412
Q07889	SOS1	ENSG00000115904
Q8WXH5	SOCS4	ENSG00000180008
O14544	SOCS4	ENSG00000180008
Q9BXB7	SPATA16	ENSG00000144962
P48594	SERPINB4	ENSG00000206073
Q9H2G2	SLK	ENSG00000065613
Q9UQ13	SHOC2	ENSG00000108061
Q6ZSJ9	SHISA6	ENSG00000188803
Q15714	TSC22D1	ENSG00000102804
Q9NYV8	TAS2R14	ENSG00000261984
Q9NYV8	TAS2R14	ENSG00000276541
Q9NYV8	TAS2R14	ENSG00000212127
P35442	THBS2	ENSG00000186340
Q8WUA8	TSKU	ENSG00000182704
A0A0B4J249	TRAV5	ENSG00000211779
Q49AM3	TTC31	ENSG00000115282
Q8NHM4	PRSS3P2	ENSG00000282667
Q8NBM4	UBAC2	ENSG00000134882
Q9HAW8	UGT1A10	ENSG00000242515
Q53H54	TRMT12	ENSG00000183665
Q9P2K3	RCOR3	ENSG00000117625
O75901	RASSF9	ENSG00000198774
Q6WBX8	RAD9B	ENSG00000151164
O75884	RBBP9	ENSG00000089050
Q96AX2	RAB37	ENSG00000172794
Q96B86	RGMA	ENSG00000182175
P98175	RBM10	ENSG00000182872
P47804	RGR	ENSG00000148604
Q8IZJ4	RGR	ENSG00000148604
Q6NTF9	RHBDD2	ENSG00000005486
Q02094	RHAG	ENSG00000112077
Q33E94	RFX4	ENSG00000111783
Q9H4K1	RIBC2	ENSG00000128408
Q9P0J6	MRPL36	ENSG00000171421
Q9P0J6	BRIP1	ENSG00000136492
Q9BX63	BRIP1	ENSG00000136492
Q96G75	RMND5B	ENSG00000145916
Q01974	ROR2	ENSG00000169071
Q92753	RORB	ENSG00000198963
P52434	POLR2H	ENSG00000163882
Q86VV4	RANBP3L	ENSG00000164188
Q9Y4G8	RAPGEF2	ENSG00000109756
P0DH78	RNF224	ENSG00000233198
Q8NBX0	SCCPDH	ENSG00000143653
O00161	SNAP23	ENSG00000092531
Q92966	SNAPC3	ENSG00000164975
Q13424	SNTA1	ENSG00000101400
Q3B7S5	SMIM21	ENSG00000206026
Q9Y286	SIGLEC7	ENSG00000168995
Q9NRS6	SNX15	ENSG00000110025
P0DMW3	SMIM10L1	ENSG00000262986
P0DMW3	SMIM10L1	ENSG00000281930
P0DMW3	SMIM10L1	ENSG00000256537
Q9UHP9	SMPX	ENSG00000091482
Q9Y5X1	SNX9	ENSG00000130340
A0A0U1RRN3	SPTY2D1OS	ENSG00000247595
Q53HV7	SMUG1	ENSG00000123415
Q8TAQ2	SMARCC2	ENSG00000139613
P0DUD4	SPDYE15	ENSG00000286014
O43609	SPRY1	ENSG00000164056
Q8IY81	FTSJ3	ENSG00000108592
Q13291	SLAMF1	ENSG00000117090
Q8NHS9	SPATA22	ENSG00000141255
Q9NTJ3	SMC4	ENSG00000113810
Q8N4L4	SPEM1	ENSG00000284598
Q8N4L4	SPEM1	ENSG00000181323
Q9BX26	SYCP2	ENSG00000196074
P61956	SUMO2	ENSG00000188612
Q8TBR4	STAG3L4	ENSG00000106610
Q8TBR4	STAG3L4	ENSG00000291153
Q9UJ98	STAG3	ENSG00000066923
Q9Y2H1	STK38L	ENSG00000211455
Q96DR4	STARD4	ENSG00000164211
Q8NBB2	ST20-AS1	ENSG00000259642
Q9HAC7	SUGCT	ENSG00000175600
Q9UHE8	STEAP1	ENSG00000164647
Q658P3	STEAP3	ENSG00000115107
O76094	SRP72	ENSG00000174780
Q9UNL2	SSR3	ENSG00000114850
Q7Z6B7	SRGAP1	ENSG00000196935
P35346	SSTR5	ENSG00000162009
O43752	STX6	ENSG00000135823
Q6UW78	UQCC3	ENSG00000204922
Q9UGK8	SERGEF	ENSG00000129158
O94875	SORBS2	ENSG00000154556
O95497	VNN1	ENSG00000112299
A6NER0	TBC1D3F	ENSG00000282087
A6NER0	TBC1D3F	ENSG00000275954
A6NER0	TBC1D3E	ENSG00000278599
A0A087X179	TBC1D3E	ENSG00000278599
Q86VY9	TMEM200A	ENSG00000164484
Q5R3I4	TTC38	ENSG00000075234
Q9NUW8	TDP1	ENSG00000042088
A0A0A6YYK4	TRBV7-1	ENSG00000282225
A0A0A6YYK4	TRBV7-1	ENSG00000211707
P20231	TPSB2	ENSG00000197253
Q9NYH9	UTP6	ENSG00000108651
Q6NUM6	TYW1B	ENSG00000277149
Q9H320	VCX	ENSG00000182583
P11117	ACP2	ENSG00000134575
P51805	PLXNA3	ENSG00000130827
A0A1B0GWB2	PRRT1B	ENSG00000283526
P35998	PSMC2	ENSG00000161057
A6NEV1	PRR23A	ENSG00000206260
O60810	PRAMEF4	ENSG00000282584
O60810	PRAMEF4	ENSG00000243073
Q7Z4L9	PPP1R42	ENSG00000178125
O60927	PPP1R11	ENSG00000236560
O60927	PPP1R11	ENSG00000233314
O60927	PPP1R11	ENSG00000237403
O60927	PPP1R11	ENSG00000234058
O60927	PPP1R11	ENSG00000206501
O60927	PPP1R11	ENSG00000227720
O60927	PPP1R11	ENSG00000237829
O60927	PPP1R11	ENSG00000204619
P30044	PRDX5	ENSG00000126432
E9PB15	PTGES3L	ENSG00000267060
Q8TB72	PUM2	ENSG00000055917
O00487	PSMD14	ENSG00000115233
P13631	RARG	ENSG00000172819
O00559	EBAG9	ENSG00000147654
P29373	CRABP2	ENSG00000143320
O00194	RAB27B	ENSG00000041353
Q9UL25	RAB21	ENSG00000080371
P85298	ARHGAP8	ENSG00000241484
Q9P2N5	RBM27	ENSG00000091009
Q9NW13	RBM28	ENSG00000106344
Q6P4F7	ARHGAP11A	ENSG00000275568
Q6P4F7	ARHGAP11A	ENSG00000198826
O14715	RGPD8	ENSG00000169629
P57771	RGS8	ENSG00000135824
Q8NE09	RGS22	ENSG00000132554
Q8N9B8	RASGEF1A	ENSG00000198915
Q96NA2	RILP	ENSG00000274145
Q96NA2	RILP	ENSG00000167705
Q96MT3	RILP	ENSG00000274145
Q96MT3	RILP	ENSG00000167705
Q13671	RIN1	ENSG00000174791
P35268	RPL22	ENSG00000116251
P39023	RPL3	ENSG00000100316
Q96DM3	RMC1	ENSG00000141452
P51449	RORC	ENSG00000143365
P84103	SRSF3	ENSG00000112081
Q5VWG9	TAF3	ENSG00000165632
Q9NYW5	TAS2R4	ENSG00000127364
Q96S53	TESK2	ENSG00000070759
E9PQX1	TMEM262	ENSG00000187066
A6NKF7	TMEM88B	ENSG00000205116
Q6GV28	TMEM225	ENSG00000204300
Q96QE5	TEFM	ENSG00000172171
Q5HYL7	TMEM196	ENSG00000173452
A0A0A0MS02	TRGV1	ENSG00000211701
O95407	TNFRSF6B	ENSG00000243509
Q9NQ34	TMEM9B	ENSG00000175348
Q7Z402	TMC7	ENSG00000170537
Q5GJ75	TNFAIP8L3	ENSG00000183578
Q13445	TMED1	ENSG00000099203
Q969K7	TMEM54	ENSG00000121900
Q9UM00	TMCO1	ENSG00000143183
Q9BXS4	TMEM59	ENSG00000116209
P08138	NGFR	ENSG00000064300
Q9GZX9	TWSG1	ENSG00000128791
Q6DKK2	TTC19	ENSG00000011295
Q6UWH6	TEX261	ENSG00000144043
A6NLP5	TTC36	ENSG00000172425
A2A3L6	TTC24	ENSG00000187862
O00294	TULP1	ENSG00000112041
Q9NRR2	TPSG1	ENSG00000116176
A0A0A6YYG2	TRBV6-6	ENSG00000282459
A0A0A6YYG2	TRBV6-6	ENSG00000211724
P07478	PRSS2	ENSG00000282049
P07478	PRSS2	ENSG00000275896
A0A0K0K1G8	TRBV10-2	ENSG00000282007
A0A0K0K1G8	TRBV10-2	ENSG00000229769
Q96BW1	UPRT	ENSG00000094841
O95551	TDP2	ENSG00000111802
Q8NB66	UNC13C	ENSG00000137766
Q9H9P5	UNKL	ENSG00000059145
O75643	SNRNP200	ENSG00000144028
Q96PU4	UHRF2	ENSG00000147854
Q5W0Q7	USPL1	ENSG00000132952
Q3LFD5	USP41	ENSG00000161133
Q9H322	VCX2	ENSG00000177504
O95183	VAMP5	ENSG00000168899
Q8NEY4	ATP6V1C2	ENSG00000143882
Q658N2	WSCD1	ENSG00000179314
Q8NGP4	OR5M3	ENSG00000174937
Q8NGR6	OR1B1	ENSG00000280094
O43913	ORC5	ENSG00000164815
Q96FX8	PERP	ENSG00000112378
O60925	PFDN1	ENSG00000113068
Q96S96	PEBP4	ENSG00000134020
P49190	PTH2R	ENSG00000144407
P51665	PSMD7	ENSG00000103035
P20742	PZP	ENSG00000126838
Q04864	REL	ENSG00000162924
Q8NDT2	RBM15B	ENSG00000259956
Q93062	RBPMS	ENSG00000157110
Q9NP72	RAB18	ENSG00000099246
P59190	RAB15	ENSG00000139998
O43182	ARHGAP6	ENSG00000047648
P61018	RAB4B	ENSG00000167578
Q96QB1	DLC1	ENSG00000164741
P63167	DLC1	ENSG00000164741
Q9Y238	DLC1	ENSG00000164741
P0C7M4	RHOXF2B	ENSG00000203989
Q8N392	ARHGAP18	ENSG00000146376
Q9NVN3	RIC8B	ENSG00000111785
Q2KHR2	RFX7	ENSG00000181827
Q86VR2	RETREG3	ENSG00000141699
P62891	RPL39	ENSG00000198918
Q92901	RPL3L	ENSG00000140986
Q9BZE1	MRPL37	ENSG00000116221
Q9BZE1	MRPL2	ENSG00000112651
Q5T653	MRPL2	ENSG00000112651
Q02878	RPL6	ENSG00000089009
Q86TS9	MRPL52	ENSG00000172590
P05423	POLR3D	ENSG00000168495
P61587	RND3	ENSG00000115963
Q8NCN4	RNF169	ENSG00000166439
Q5VTB9	RNF220	ENSG00000187147
