mature_id	gene_name	score
hsa-miR-433-3p	ING3	0.059
hsa-miR-187-5p	TTYH3	0.076
hsa-miR-187-5p	NDE1	0.169
hsa-miR-187-5p	CDK5	0.357
hsa-miR-187-5p	ARL1	0.064
hsa-miR-187-5p	CDK17	0.23
hsa-miR-187-5p	ING3	0.028
hsa-miR-187-5p	TAF7L	0.295
hsa-miR-1293	TTYH3	0.411
hsa-miR-1293	CDK17	0.123
hsa-miR-1293	SCNM1	0.167
hsa-miR-1293	ING3	0.148
hsa-miR-1293	NDE1	0.266
hsa-miR-1293	ARL1	0.386
hsa-miR-1293	TAF7L	0.499
hsa-miR-613	ARL1	0.073
hsa-miR-613	NDE1	0.282
hsa-miR-613	CDK17	0.111
hsa-miR-613	TTYH3	0.277
hsa-miR-613	ING3	0.825
hsa-miR-6830-5p	NDE1	0.081
hsa-miR-6830-5p	TTYH3	0.433
hsa-miR-6830-5p	CDK17	0.07
hsa-miR-4749-3p	ARL1	0.14
hsa-miR-4749-3p	TTYH3	0.431
hsa-miR-4749-3p	CDK17	0.098
hsa-miR-4749-3p	NDE1	0.429
hsa-miR-4749-3p	CDK5	0.356
hsa-miR-4749-3p	SCNM1	0.287
hsa-miR-4749-3p	ING3	0.596
hsa-miR-4749-3p	TAF7L	0.638
hsa-miR-1225-3p	CDK17	0.054
hsa-miR-1225-3p	NDE1	0.037
hsa-miR-1225-3p	TTYH3	0.223
hsa-miR-1225-3p	ARL1	0.021
hsa-miR-1225-3p	SCNM1	0.044
hsa-miR-1225-3p	ING3	0.176
hsa-miR-1225-3p	TAF7L	0.02
hsa-miR-4643	CDK17	0.185
hsa-miR-4643	ARL1	0.014
hsa-miR-4643	ING3	0.118
hsa-miR-4643	NDE1	0.197
hsa-miR-4643	TTYH3	0.113
hsa-miR-6850-3p	NDE1	0.298
hsa-miR-6850-3p	TTYH3	0.697
hsa-miR-6850-3p	CDK17	0.186
hsa-miR-6850-3p	CDK5	0.417
hsa-miR-6850-3p	SCNM1	0.41
hsa-miR-6850-3p	ING3	0.598
hsa-miR-302d-3p	ARL1	0.013
hsa-miR-302d-3p	ING3	0.14
hsa-miR-210-3p	NDE1	0.249
hsa-miR-210-3p	ARL1	0.134
hsa-miR-210-3p	TTYH3	0.296
hsa-miR-210-3p	SCNM1	0.408
hsa-miR-210-3p	ING3	0.5
hsa-miR-210-3p	TAF7L	0.393
hsa-miR-6762-5p	TTYH3	0.194
hsa-miR-6762-5p	CDK17	0.18
hsa-miR-6762-5p	ARL1	0.024
hsa-miR-6762-5p	CDK5	0.404
hsa-miR-3177-3p	NDE1	0.329
hsa-miR-3177-3p	SCNM1	0.006
hsa-miR-3177-3p	ING3	0.246
hsa-miR-3177-3p	CDK17	0.167
hsa-miR-3177-3p	ARL1	0.322
hsa-miR-3177-3p	TTYH3	0.35
hsa-miR-3177-3p	TAF7L	0.449
hsa-miR-4687-5p	NDE1	0.081
hsa-miR-4687-5p	ARL1	0.012
hsa-miR-4687-5p	TTYH3	0.164
hsa-miR-4687-5p	SCNM1	0.069
hsa-miR-4687-5p	ING3	0.11
hsa-miR-2682-5p	ARL1	0.042
hsa-miR-2682-5p	CDK17	0.06
hsa-miR-2682-5p	TTYH3	0.131
hsa-miR-2682-5p	NDE1	0.219
hsa-miR-2682-5p	SCNM1	0.431
hsa-miR-2682-5p	ING3	0.076
hsa-miR-520f-3p	TAF7L	0.321
hsa-miR-520f-3p	NDE1	0.019
hsa-miR-520f-3p	ARL1	0.054
hsa-miR-520f-3p	ING3	0.03
hsa-miR-656-5p	ING3	0.188
hsa-miR-656-5p	CDK17	0.45
hsa-miR-656-5p	SCNM1	0.782
hsa-miR-656-5p	ARL1	0.133
hsa-miR-656-5p	TTYH3	0.597
hsa-miR-656-5p	NDE1	0.227
hsa-miR-5197-3p	NDE1	0.034
hsa-miR-487a-3p	NDE1	0.002
hsa-miR-30d-5p	ARL1	0.045
hsa-miR-30d-5p	ING3	0.032
hsa-miR-548av-5p	ING3	0.458
hsa-miR-548av-5p	CDK17	0.31
hsa-miR-548av-5p	NDE1	0.2
hsa-miR-548av-5p	ARL1	0.087
hsa-miR-548av-5p	TTYH3	0.108
hsa-miR-548av-5p	TAF7L	0.205
hsa-miR-548av-5p	CDK5	0.751
hsa-miR-6827-3p	NDE1	0.279
hsa-miR-6827-3p	TTYH3	0.33
hsa-miR-6827-3p	CDK5	0.059
hsa-miR-6827-3p	ING3	0.311
hsa-miR-518d-5p	ING3	0.067
hsa-miR-518d-5p	CDK17	0.351
hsa-miR-518d-5p	NDE1	0.224
hsa-miR-637	NDE1	0.028
hsa-miR-637	TTYH3	0.163
hsa-miR-637	CDK5	0.201
hsa-miR-4740-5p	NDE1	0.27
hsa-miR-4740-5p	TTYH3	0.309
hsa-miR-4740-5p	ARL1	0.061
hsa-miR-4740-5p	SCNM1	0.03
hsa-miR-4740-5p	TAF7L	0.682
hsa-miR-4740-5p	ING3	0.048
hsa-miR-7108-5p	TTYH3	0.608
hsa-miR-7108-5p	NDE1	0.383
hsa-miR-7108-5p	ARL1	0.474
hsa-miR-7108-5p	ING3	0.122
hsa-miR-7108-5p	SCNM1	0.171
hsa-miR-7108-5p	TAF7L	0.287
hsa-miR-6887-5p	NDE1	0.024
hsa-miR-6887-5p	TTYH3	0.186
hsa-miR-6887-5p	ARL1	0.013
hsa-miR-6887-5p	ING3	0.047
hsa-miR-6887-5p	SCNM1	0.128
hsa-miR-6887-5p	TAF7L	0.053
hsa-miR-520b	ARL1	0.125
hsa-miR-520b	ING3	0.187
hsa-miR-520b	NDE1	0.113
hsa-miR-520b	TAF7L	0.031
hsa-miR-3690	ING3	0.037
hsa-miR-3690	CDK17	0.07
hsa-miR-3690	ARL1	0.022
hsa-miR-3690	NDE1	0.071
hsa-miR-34b-5p	ARL1	0.026
hsa-miR-34b-5p	NDE1	0.048
hsa-miR-34b-5p	SCNM1	0.053
hsa-miR-34b-5p	ING3	0.047
hsa-miR-34b-5p	TTYH3	0.416
hsa-miR-6786-3p	NDE1	0.066
hsa-miR-518a-3p	ARL1	0.104
hsa-miR-518a-3p	TTYH3	0.028
hsa-miR-518a-3p	NDE1	0.094
hsa-miR-518a-3p	SCNM1	0.304
hsa-miR-518a-3p	CDK17	0.179
hsa-miR-645	NDE1	0.789
hsa-miR-645	TTYH3	0.43
hsa-miR-645	ING3	0.619
hsa-miR-645	TAF7L	1.058
hsa-miR-645	ARL1	0.443
hsa-miR-645	CDK17	0.486
hsa-miR-645	SCNM1	0.727
hsa-miR-3975	ARL1	0.013
hsa-miR-3975	ING3	0.111
hsa-miR-3975	CDK17	0.095
hsa-miR-3975	NDE1	0.072
hsa-miR-17-5p	ARL1	0.004
hsa-miR-4524b-3p	NDE1	0.348
hsa-miR-4524b-3p	ING3	0.412
hsa-miR-4524b-3p	TTYH3	0.457
hsa-miR-4524b-3p	TAF7L	0.118
hsa-miR-4524b-3p	CDK17	0.119
hsa-miR-6895-3p	NDE1	0.141
hsa-miR-6895-3p	TTYH3	0.124
hsa-miR-6895-3p	ING3	0.045
hsa-miR-6895-3p	CDK17	0.059
hsa-miR-6895-3p	SCNM1	0.165
hsa-miR-6873-5p	ING3	0.101
hsa-miR-6873-5p	NDE1	0.232
hsa-miR-6873-5p	TTYH3	0.225
hsa-miR-6873-5p	SCNM1	0.134
hsa-miR-6873-5p	ARL1	0.366
hsa-miR-6873-5p	TAF7L	0.438
hsa-miR-6873-5p	CDK17	0.033
hsa-miR-6873-5p	CDK5	0.16
hsa-miR-4674	NDE1	0.323
hsa-miR-4674	ARL1	0.181
hsa-miR-4674	TTYH3	0.54
hsa-miR-4674	CDK5	0.682
hsa-miR-4674	ING3	0.31
hsa-miR-4674	CDK17	0.579
hsa-miR-4674	SCNM1	0.454
hsa-miR-4674	TAF7L	0.532
hsa-miR-3200-5p	CDK17	0.128
hsa-miR-3200-5p	ING3	0.037
hsa-miR-3200-5p	NDE1	0.041
hsa-miR-2909	NDE1	0.318
hsa-miR-2909	ARL1	0.122
hsa-miR-2909	TTYH3	0.146
hsa-miR-2909	SCNM1	0.109
hsa-miR-2909	ING3	0.146
hsa-miR-2909	TAF7L	0.198
hsa-miR-4730	ARL1	0.045
hsa-miR-4730	TTYH3	0.199
hsa-miR-3681-5p	NDE1	0.045
hsa-miR-3681-5p	ARL1	0.169
hsa-miR-3681-5p	TTYH3	0.16
hsa-miR-3681-5p	CDK17	0.021
hsa-miR-3681-5p	TAF7L	0.03
hsa-miR-6876-5p	SCNM1	0.256
hsa-miR-6876-5p	TAF7L	0.17
hsa-miR-6876-5p	CDK17	0.13
hsa-miR-6876-5p	NDE1	0.262
hsa-miR-6876-5p	ARL1	0.226
hsa-miR-6876-5p	TTYH3	0.109
hsa-miR-6876-5p	ING3	0.176
hsa-miR-302b-3p	ARL1	0.011
hsa-miR-302b-3p	ING3	0.073
hsa-miR-302b-3p	NDE1	0.132
hsa-miR-92b-3p	TTYH3	0.262
hsa-miR-92b-3p	SCNM1	0.18
hsa-miR-92b-3p	ING3	0.165
hsa-miR-3140-5p	CDK17	0.087
hsa-miR-3140-5p	ING3	0.048
hsa-miR-3140-5p	NDE1	0.154
hsa-miR-3140-5p	TTYH3	0.318
hsa-miR-3140-5p	SCNM1	0.039
hsa-miR-3680-5p	NDE1	0.074
hsa-miR-3680-5p	ARL1	0.349
hsa-miR-3680-5p	TTYH3	0.241
hsa-miR-3680-5p	ING3	0.145
hsa-miR-8069	TTYH3	0.194
hsa-miR-8069	CDK17	0.052
hsa-miR-8069	NDE1	0.02
hsa-miR-8069	SCNM1	0.18
hsa-miR-6506-3p	TTYH3	0.209
hsa-miR-6506-3p	NDE1	0.015
hsa-miR-6506-3p	ARL1	0.011
hsa-miR-6506-3p	CDK5	0.17
hsa-miR-3187-3p	NDE1	0.292
hsa-miR-3187-3p	TTYH3	0.488
hsa-miR-3187-3p	ARL1	0.109
hsa-miR-3187-3p	SCNM1	0.263
hsa-miR-3187-3p	ING3	0.42
hsa-miR-758-5p	NDE1	0.071
hsa-miR-758-5p	CDK17	0.112
hsa-miR-758-5p	TTYH3	0.209
hsa-miR-5089-3p	NDE1	0.106
hsa-miR-5089-3p	TTYH3	0.081
hsa-miR-5089-3p	CDK17	0.018
hsa-miR-5089-3p	ARL1	0.013
hsa-miR-5089-3p	TAF7L	0.259
hsa-miR-3977	TAF7L	0.052
hsa-miR-3977	CDK17	0.098
hsa-miR-3977	NDE1	0.129
hsa-miR-3977	ARL1	0.008
hsa-miR-3977	ING3	0.012
hsa-miR-5682	ING3	0.022
hsa-miR-5682	CDK17	0.249
hsa-miR-5682	NDE1	0.022
hsa-miR-5682	ARL1	0.035
hsa-miR-5682	SCNM1	0.126
hsa-miR-5682	TAF7L	0.206
hsa-miR-377-5p	CDK17	0.102
hsa-miR-377-5p	ARL1	0.087
hsa-miR-377-5p	ING3	0.172
hsa-miR-377-5p	NDE1	0.137
hsa-miR-377-5p	CDK5	0.455
hsa-miR-377-5p	TTYH3	0.483
hsa-miR-4695-3p	SCNM1	0.311
hsa-miR-4695-3p	ING3	0.267
hsa-miR-4695-3p	NDE1	0.244
hsa-miR-4695-3p	ARL1	0.034
hsa-miR-4695-3p	TTYH3	0.431
hsa-miR-4695-3p	CDK17	0.09
hsa-miR-4695-3p	TAF7L	0.142
hsa-miR-562	ARL1	0.075
hsa-miR-562	ING3	0.107
hsa-miR-562	CDK17	0.081
hsa-miR-4328	CDK17	0.381
hsa-miR-4328	NDE1	0.959
hsa-miR-4328	ARL1	0.728
hsa-miR-4328	TTYH3	1.034
hsa-miR-4328	ING3	0.376
hsa-miR-4328	TAF7L	0.627
hsa-miR-4328	CDK5	0.961
hsa-miR-4328	SCNM1	1.141
hsa-miR-202-3p	NDE1	0.161
hsa-miR-202-3p	TTYH3	0.4
hsa-miR-202-3p	SCNM1	0.146
hsa-miR-202-3p	ING3	0.037
hsa-miR-202-3p	ARL1	0.717
hsa-miR-202-3p	CDK17	0.015
hsa-miR-202-3p	TAF7L	0.259
hsa-miR-5196-3p	NDE1	0.224
hsa-miR-5196-3p	TTYH3	0.236
hsa-miR-5196-3p	ARL1	0.03
hsa-miR-5196-3p	SCNM1	0.176
hsa-miR-5196-3p	ING3	0.127
hsa-miR-5196-3p	CDK17	0.145
hsa-miR-5196-3p	CDK5	0.185
hsa-miR-4314	NDE1	0.723
hsa-miR-4314	TTYH3	0.959
hsa-miR-4314	CDK17	0.849
hsa-miR-4314	ARL1	0.416
hsa-miR-4314	ING3	0.313
hsa-miR-4314	TAF7L	0.328
hsa-miR-4314	SCNM1	0.322
hsa-miR-3681-3p	ARL1	0.242
hsa-miR-3681-3p	TTYH3	0.168
hsa-miR-3681-3p	SCNM1	0.114
hsa-miR-3681-3p	ING3	0.176
hsa-miR-3681-3p	TAF7L	0.552
hsa-miR-3681-3p	CDK17	0.147
hsa-miR-3681-3p	NDE1	0.09
hsa-miR-2114-3p	NDE1	0.16
hsa-miR-2114-3p	SCNM1	0.234
hsa-miR-2114-3p	ARL1	0.01
hsa-miR-2114-3p	TTYH3	0.354
hsa-miR-2114-3p	CDK17	0.144
hsa-miR-2114-3p	ING3	0.04
hsa-miR-615-5p	SCNM1	0.188
hsa-miR-615-5p	CDK17	0.079
hsa-miR-615-5p	NDE1	0.22
hsa-miR-615-5p	TTYH3	0.121
hsa-miR-615-5p	ING3	0.013
hsa-miR-615-5p	TAF7L	0.265
hsa-miR-3677-3p	NDE1	0.052
hsa-miR-3677-3p	TTYH3	0.268
hsa-miR-3677-3p	CDK5	0.577
hsa-miR-138-1-3p	TTYH3	0.404
hsa-miR-138-1-3p	CDK17	0.039
hsa-miR-138-1-3p	NDE1	0.091
hsa-miR-138-1-3p	SCNM1	0.009
hsa-miR-138-1-3p	TAF7L	0.373
hsa-miR-4641	TTYH3	0.147
hsa-miR-4641	SCNM1	0.067
hsa-miR-4641	ING3	0.14
hsa-miR-4641	NDE1	0.045
hsa-miR-4641	ARL1	0.101
hsa-miR-370-5p	NDE1	0.456
hsa-miR-370-5p	ARL1	0.341
hsa-miR-370-5p	TTYH3	0.22
hsa-miR-370-5p	SCNM1	0.169
hsa-miR-370-5p	ING3	0.185
hsa-miR-370-5p	TAF7L	0.565
hsa-miR-4732-5p	NDE1	0.065
hsa-miR-4732-5p	CDK17	0.014
hsa-miR-4732-5p	ARL1	0.004
hsa-miR-4732-5p	TTYH3	0.11
hsa-miR-4732-5p	ING3	0.038
hsa-miR-4732-5p	SCNM1	0.003
hsa-miR-4732-5p	TAF7L	0.006
hsa-miR-6760-3p	TTYH3	0.296
hsa-miR-6760-3p	NDE1	0.076
hsa-miR-6760-3p	SCNM1	0.134
hsa-miR-6760-3p	ING3	0.146
hsa-miR-7162-5p	CDK17	0.872
hsa-miR-7162-5p	NDE1	0.422
hsa-miR-7162-5p	ARL1	0.293
hsa-miR-7162-5p	ING3	0.428
hsa-miR-7162-5p	TTYH3	0.512
hsa-miR-7162-5p	SCNM1	0.489
hsa-miR-7162-5p	CDK5	0.778
hsa-miR-1237-5p	NDE1	0.317
hsa-miR-1237-5p	TTYH3	0.442
hsa-miR-1237-5p	CDK17	0.117
hsa-miR-1237-5p	SCNM1	0.625
hsa-miR-1237-5p	ING3	0.007
hsa-miR-1237-5p	TAF7L	0.306
hsa-miR-1237-5p	ARL1	0.069
hsa-miR-4421	NDE1	0.168
hsa-miR-4421	SCNM1	0.214
hsa-miR-4421	TTYH3	0.196
hsa-miR-4421	ARL1	0.011
hsa-miR-3195	CDK5	0.517
hsa-miR-3195	ARL1	0.578
hsa-miR-3195	TTYH3	0.883
hsa-miR-3195	NDE1	0.605
hsa-miR-3195	SCNM1	0.082
hsa-miR-3195	ING3	0.19
hsa-miR-193a-5p	NDE1	0.158
hsa-miR-193a-5p	TTYH3	0.141
hsa-miR-193a-5p	CDK17	0.132
hsa-miR-193a-5p	SCNM1	0.105
hsa-miR-193a-5p	ING3	0.191
hsa-miR-4486	TTYH3	1.388
hsa-miR-4486	CDK17	0.509
hsa-miR-4486	NDE1	0.832
hsa-miR-4486	CDK5	1.824
hsa-miR-4486	ARL1	1.353
hsa-miR-4486	SCNM1	1.202
hsa-miR-4486	ING3	0.526
hsa-miR-4486	TAF7L	1.322
hsa-miR-4534	TTYH3	0.819
hsa-miR-4534	ING3	0.772
hsa-miR-4534	TAF7L	1.023
hsa-miR-4534	CDK17	0.506
hsa-miR-4534	NDE1	0.422
hsa-miR-4534	ARL1	0.804
hsa-miR-4534	SCNM1	0.293
hsa-miR-2278	ING3	0.08
hsa-miR-2278	TTYH3	0.377
hsa-miR-2278	SCNM1	0.538
hsa-miR-2278	NDE1	0.12
hsa-miR-2278	CDK5	0.281
hsa-miR-2278	ARL1	0.061
hsa-miR-2278	TAF7L	0.155
hsa-miR-892c-5p	NDE1	0.133
hsa-miR-892c-5p	ING3	0.213
hsa-miR-892c-5p	CDK17	0.078
hsa-miR-892c-5p	ARL1	0.04
hsa-miR-892c-5p	TTYH3	0.143
hsa-miR-892c-5p	SCNM1	0.334
hsa-miR-892c-5p	TAF7L	0.289
hsa-miR-1179	ARL1	0.075
hsa-miR-1179	CDK17	0.582
hsa-miR-1179	ING3	0.036
hsa-miR-1179	TAF7L	0.103
hsa-miR-6834-3p	NDE1	0.274
hsa-miR-6834-3p	ARL1	0.262
hsa-miR-6834-3p	ING3	0.1
hsa-miR-6834-3p	TTYH3	0.142
hsa-miR-380-5p	NDE1	0.198
hsa-miR-380-5p	ARL1	0.015
hsa-miR-380-5p	TTYH3	0.2
hsa-miR-6759-3p	TTYH3	0.117
hsa-miR-6759-3p	NDE1	0.242
hsa-miR-6759-3p	CDK17	0.027
hsa-miR-6759-3p	SCNM1	0.127
hsa-miR-6759-3p	TAF7L	0.107
hsa-miR-19b-1-5p	NDE1	0.014
hsa-miR-744-5p	NDE1	0.081
hsa-miR-744-5p	ING3	0.029
hsa-miR-744-5p	ARL1	0.021
hsa-miR-744-5p	TTYH3	0.189
hsa-miR-744-5p	TAF7L	0.263
hsa-miR-744-5p	SCNM1	0.087
hsa-miR-26a-2-3p	CDK17	0.116
hsa-miR-26a-2-3p	SCNM1	0.099
hsa-miR-26a-2-3p	ING3	0.214
hsa-miR-26a-2-3p	TAF7L	0.301
hsa-miR-26a-2-3p	ARL1	0.064
hsa-miR-26a-2-3p	TTYH3	0.635
hsa-miR-3605-3p	CDK17	0.055
hsa-miR-3605-3p	ARL1	0.044
hsa-miR-3605-3p	TAF7L	0.085
hsa-miR-3605-3p	NDE1	0.241
hsa-miR-3605-3p	ING3	0.088
hsa-miR-3605-3p	TTYH3	0.2
hsa-miR-3605-3p	SCNM1	0.185
hsa-miR-34a-3p	TTYH3	0.489
hsa-miR-34a-3p	CDK17	0.147
hsa-miR-4677-3p	ARL1	0.094
hsa-miR-4677-3p	CDK17	0.026
hsa-miR-4677-3p	TTYH3	0.355
hsa-miR-4677-3p	NDE1	0.089
hsa-miR-4677-3p	SCNM1	0.244
hsa-miR-4677-3p	ING3	0.104
hsa-miR-758-3p	NDE1	0.028
hsa-miR-758-3p	ING3	0.058
hsa-miR-758-3p	CDK17	0.179
hsa-miR-758-3p	ARL1	0.083
hsa-miR-758-3p	TTYH3	0.572
hsa-miR-758-3p	SCNM1	0.042
hsa-miR-3122	NDE1	0.005
hsa-miR-3122	TTYH3	0.127
hsa-miR-6732-5p	TTYH3	0.463
hsa-miR-6732-5p	NDE1	0.246
hsa-miR-6732-5p	CDK17	0.125
hsa-miR-6732-5p	CDK5	0.24
hsa-miR-6732-5p	ARL1	0.236
hsa-miR-6732-5p	SCNM1	0.993
hsa-miR-6732-5p	ING3	0.116
hsa-miR-4274	NDE1	0.389
hsa-miR-4274	TTYH3	0.535
hsa-miR-4274	SCNM1	0.95
hsa-miR-4274	ARL1	0.1
hsa-miR-4274	ING3	0.014
hsa-miR-4274	CDK5	0.216
hsa-miR-4274	TAF7L	1.016
hsa-miR-598-5p	CDK17	0.079
hsa-miR-598-5p	NDE1	0.013
hsa-miR-598-5p	TTYH3	0.101
hsa-miR-598-5p	SCNM1	0.026
hsa-miR-4465	NDE1	0.226
hsa-miR-4465	SCNM1	0.039
hsa-miR-4465	ARL1	0.058
hsa-miR-4465	TTYH3	0.199
hsa-miR-4465	ING3	0.146
hsa-miR-4465	CDK17	0.046
hsa-miR-4465	CDK5	0.072
hsa-miR-548ar-3p	ARL1	0.13
hsa-miR-548ar-3p	CDK17	0.132
hsa-miR-548ar-3p	TTYH3	0.154
hsa-miR-4690-3p	TTYH3	0.26
hsa-miR-4690-3p	ARL1	0.12
hsa-miR-4690-3p	ING3	0.111
hsa-miR-4690-3p	TAF7L	0.185
hsa-miR-4690-3p	NDE1	0.336
hsa-miR-4690-3p	CDK5	0.18
hsa-miR-4690-3p	SCNM1	0.623
hsa-miR-202-5p	NDE1	0.188
hsa-miR-202-5p	ARL1	0.104
hsa-miR-202-5p	ING3	0.257
hsa-miR-202-5p	TTYH3	0.046
hsa-miR-202-5p	SCNM1	0.141
hsa-miR-202-5p	TAF7L	0.246
hsa-miR-378d	ING3	0.484
hsa-miR-378d	CDK17	0.231
hsa-miR-378d	ARL1	0.07
hsa-miR-378d	TTYH3	0.143
hsa-miR-378d	SCNM1	0.123
hsa-miR-378d	TAF7L	0.001
hsa-miR-378d	NDE1	0.444
hsa-miR-6765-5p	NDE1	0.002
hsa-miR-6765-5p	SCNM1	0.023
hsa-miR-6511a-5p	NDE1	0.21
hsa-miR-6511a-5p	ARL1	0.063
hsa-miR-6511a-5p	TTYH3	0.151
hsa-miR-6511a-5p	SCNM1	0.283
hsa-miR-6511a-5p	ING3	0.151
hsa-miR-6511a-5p	CDK17	0.078
hsa-miR-6511a-5p	TAF7L	0.089
hsa-miR-6511a-5p	CDK5	0.125
hsa-miR-1267	CDK17	0.073
hsa-miR-1267	ING3	0.162
hsa-miR-1267	NDE1	0.078
hsa-miR-1267	ARL1	0.188
hsa-miR-1267	TTYH3	0.275
hsa-miR-1267	SCNM1	0.113
hsa-miR-1267	TAF7L	0.305
hsa-miR-4668-5p	ARL1	0.05
hsa-miR-6730-3p	ARL1	0.069
hsa-miR-6730-3p	NDE1	0.194
hsa-miR-6730-3p	TTYH3	0.361
hsa-miR-6730-3p	ING3	0.132
hsa-miR-4671-5p	ING3	0.117
hsa-miR-4671-5p	CDK17	0.001
hsa-miR-4671-5p	SCNM1	0.102
hsa-miR-920	CDK17	0.263
hsa-miR-920	NDE1	0.372
hsa-miR-920	ING3	0.406
hsa-miR-920	ARL1	0.457
hsa-miR-920	TTYH3	0.574
hsa-miR-920	SCNM1	0.181
hsa-miR-920	TAF7L	0.241
hsa-miR-6826-5p	NDE1	0.109
hsa-miR-6826-5p	SCNM1	0.039
hsa-miR-135a-3p	TTYH3	0.221
hsa-miR-135a-3p	SCNM1	0.216
hsa-miR-516a-3p	NDE1	0.786
hsa-miR-516a-3p	ARL1	0.107
hsa-miR-516a-3p	TTYH3	0.539
hsa-miR-516a-3p	ING3	0.212
hsa-miR-516a-3p	CDK17	0.482
hsa-miR-516a-3p	SCNM1	0.211
hsa-miR-548b-5p	ING3	0.025
hsa-miR-4513	TTYH3	0.111
hsa-miR-4513	NDE1	0.013
hsa-miR-4513	CDK5	0.235
hsa-miR-4513	SCNM1	0.083
hsa-miR-4513	TAF7L	0.159
hsa-miR-518e-5p	CDK17	0.045
hsa-miR-518e-5p	NDE1	0.131
hsa-miR-518e-5p	ING3	0.037
hsa-miR-205-5p	NDE1	0.21
hsa-miR-205-5p	TTYH3	0.241
hsa-miR-205-5p	CDK17	0.08
hsa-miR-593-3p	NDE1	0.406
hsa-miR-593-3p	SCNM1	0.179
hsa-miR-593-3p	ING3	0.736
hsa-miR-593-3p	CDK17	0.733
hsa-miR-593-3p	ARL1	0.531
hsa-miR-593-3p	TTYH3	0.376
hsa-miR-593-3p	TAF7L	0.371
hsa-miR-593-3p	CDK5	0.046
hsa-miR-6836-5p	CDK17	0.027
hsa-miR-6836-5p	NDE1	0.301
hsa-miR-6836-5p	TTYH3	0.365
hsa-miR-6836-5p	SCNM1	0.294
hsa-miR-6836-5p	ING3	0.055
hsa-miR-6836-5p	ARL1	0.099
hsa-miR-6515-5p	ARL1	0.25
hsa-miR-6515-5p	ING3	0.407
hsa-miR-6515-5p	CDK17	0.059
hsa-miR-6515-5p	NDE1	0.076
hsa-miR-6515-5p	TTYH3	0.314
hsa-miR-6515-5p	TAF7L	0.099
hsa-miR-653-5p	CDK17	0.059
hsa-miR-653-5p	NDE1	0.303
hsa-miR-653-5p	ARL1	0.046
hsa-miR-653-5p	TTYH3	0.164
hsa-miR-653-5p	ING3	0.102
hsa-miR-6503-5p	NDE1	0.205
hsa-miR-6503-5p	TTYH3	0.172
hsa-miR-6503-5p	CDK5	0.088
hsa-miR-6503-5p	ARL1	0.036
hsa-miR-6503-5p	SCNM1	0.018
hsa-miR-6503-5p	ING3	0.022
hsa-miR-6504-5p	CDK17	0.185
hsa-miR-6504-5p	ARL1	0.18
hsa-miR-6504-5p	NDE1	0.263
hsa-miR-6504-5p	TTYH3	0.244
hsa-miR-6504-5p	SCNM1	0.098
hsa-miR-627-5p	CDK17	0.085
hsa-miR-627-5p	ING3	0.125
hsa-miR-627-5p	NDE1	0.186
hsa-miR-627-5p	ARL1	0.045
hsa-miR-627-5p	TTYH3	0.287
hsa-miR-627-5p	SCNM1	0.041
hsa-miR-627-5p	TAF7L	0.466
hsa-miR-3618	ING3	0.144
hsa-miR-3618	CDK17	0.14
hsa-miR-3618	NDE1	0.178
hsa-miR-5186	ARL1	0.403
hsa-miR-5186	NDE1	0.209
hsa-miR-5186	TTYH3	0.156
hsa-miR-5186	ING3	0.215
hsa-miR-5186	TAF7L	0.058
hsa-miR-210-5p	CDK17	0.129
hsa-miR-210-5p	NDE1	0.145
hsa-miR-210-5p	TTYH3	0.494
hsa-miR-210-5p	ING3	0.308
hsa-miR-210-5p	ARL1	0.388
hsa-miR-210-5p	SCNM1	0.036
hsa-miR-5196-5p	NDE1	0.196
hsa-miR-5196-5p	TTYH3	0.115
hsa-miR-5196-5p	SCNM1	0.084
hsa-miR-6078	TTYH3	0.537
hsa-miR-6078	NDE1	0.81
hsa-miR-6078	SCNM1	0.243
hsa-miR-6078	ING3	0.076
hsa-miR-6078	CDK17	0.272
hsa-miR-6078	ARL1	0.306
hsa-miR-6078	TAF7L	0.467
hsa-miR-4708-3p	NDE1	0.138
hsa-miR-4708-3p	ING3	0.149
hsa-miR-4708-3p	CDK17	0.288
hsa-miR-4708-3p	ARL1	0.046
hsa-miR-4708-3p	TTYH3	0.14
hsa-miR-4708-3p	TAF7L	0.292
hsa-miR-3173-5p	NDE1	0.131
hsa-miR-3173-5p	ARL1	0.059
hsa-miR-3173-5p	SCNM1	0.04
hsa-miR-3173-5p	CDK17	0.051
hsa-miR-3173-5p	TTYH3	0.229
hsa-miR-3173-5p	ING3	0.226
hsa-miR-3173-5p	TAF7L	0.164
hsa-miR-4748	NDE1	0.153
hsa-miR-4748	ARL1	0.183
hsa-miR-4748	CDK17	0.431
hsa-miR-4748	TTYH3	0.292
hsa-miR-4748	SCNM1	0.079
hsa-miR-4748	ING3	0.216
hsa-miR-4748	TAF7L	0.578
hsa-miR-4302	TTYH3	1.086
hsa-miR-4302	SCNM1	0.658
hsa-miR-4302	CDK17	0.763
hsa-miR-4302	NDE1	1.209
hsa-miR-4302	CDK5	1.084
hsa-miR-4302	ARL1	0.687
hsa-miR-4302	ING3	0.643
hsa-miR-4302	TAF7L	1.007
hsa-miR-4735-3p	ING3	0.213
hsa-miR-4735-3p	CDK17	0.054
hsa-miR-4735-3p	NDE1	0.144
hsa-miR-4735-3p	ARL1	0.018
